EF_measure,Units.used.for.EF,EF_type,EF_UI,SE_UI,SS_UI,EF_I,SE_I,SS_I,Var,Dom_nat,Inv_sp,Study,SiteID,Year,Latitude,Longitude,Exp_obs,Ecosystem,Terr_aqu,Native_height,Inv_height,Native_woodiness,Inv_woodiness,Native_C3,Inv_C3
Soil % nitrogen,%,Soil Nitrogen,0.0521,NA,NA,0.1042,NA,NA,SE,Encelia farinosa,Pennisetum ciliare,Abella et al (2013),Abella et al (2013)a,2013,32.296745,-111.166626,Observational,Scrub,Terrestrial,0.9,0.5,1,0,1,0
Soil Nitrogen concentration,grams per kg of soil (0-5cm depth),Soil nitrogen,13.8,0.4,5,25.9,0.5,5,,Metrosideros polymorpha,Falcataria moluccana,Allison et al 2006,Allison et al 2006a,2006,19.44805556,-154.8611111,Observational,Forest,Terrestrial,22.5,30,1,1,1,1
Soil Phosphorus,grams per kilogram of soil (0-5cm),Soil phosphorus,0.84,0.03,5,0.98,0.02,5,,Metrosideros polymorpha,Falcataria moluccana,Allison et al 2006,Allison et al 2006a,2006,19.44805556,-154.8611111,Observational,Forest,Terrestrial,22.5,30,1,1,1,1
Soil nitrogen concentration,grams per kilogram of soil (0-5cm depth),Soil nitrogen,14.5,0.5,5,31.3,0.7,5,,Metrosideros polymorpha,Falcataria moluccana,Allison et al 2006,Allison et al 2006b,2006,19.41972222,-154.9538889,Observational,Forest,Terrestrial,22.5,30,1,1,1,1
Soil phophorus concentration,grams per kilogram of soil (0-5cm depth),Soil phosphorus,0.69,0.03,5,0.99,0.06,5,,Metrosideros polymorpha,Falcataria moluccana,Allison et al 2006,Allison et al 2006b,2006,19.41972222,-154.9538889,Observational,Forest,Terrestrial,22.5,30,1,1,1,1
Soil nitrogen concentration,grams per kilogram of soil (0-5cm depth),Soil nitrogen,21,0.9,5,23.9,2.5,5,,Metrosideros polymorpha,Falcataria moluccana,Allison et al 2006,Allison et al 2006c,2006,19.41972222,-154.9538889,Observational,Forest,Terrestrial,22.5,30,1,1,1,1
Soil phosphorus concentration,grams per kilogram of soil (0-5cm depth),Soil phosphorus,1,0.06,5,0.93,0.12,5,,Metrosideros polymorpha,Falcataria moluccana,Allison et al 2006,Allison et al 2006c,2006,19.41972222,-154.9538889,Observational,Forest,Terrestrial,22.5,30,1,1,1,1
soil organic matter,% soil organic matter (0-10cm),Soil carbon,1.98,0.554,5,2.85,0.881,5,,Eleocharis smallii,Typha x glauca,Angeloni et al 2006,Angeloni et al 2006a,2006,45.663007,-84.423323,Observational,Freshwater wetland,Aquatic,0.45,1.35,0,0,1,NA
Soil water content,% soil water content (0-10cm depth),Soil moisture,26.6,2.03,5,33.9,2.76,5,,Eleocharis smallii,Typha x glauca,Angeloni et al 2006,Angeloni et al 2006a,2006,45.663007,-84.423323,Observational,Freshwater wetland,Aquatic,0.45,1.35,0,0,1,NA
Aboveground plant biomass,grams per metre squared,Aboveground biomass,290,12.34952226,3,354.8,33.42858059,3,,Eleocharis smallii,Typha x glauca,Angeloni et al 2006,Angeloni et al 2006a,2006,45.663007,-84.423323,Observational,Freshwater wetland,Aquatic,0.45,1.35,0,0,1,NA
Total soluble nitrate in soil,micrograms per gram of soil (0-10cm depth),Soil nitrogen,0.37083,0.0969,5,0.65545,0.11637,5,,Eleocharis smallii,Typha x glauca,Angeloni et al 2006,Angeloni et al 2006a,2006,45.663007,-84.423323,Observational,Freshwater wetland,Aquatic,0.45,1.35,0,0,1,NA
Total soluable inorganic phosphate in soil,micrograms per gram of soil (0-10cm depth),Soil phosphorus,0.09931,0.02703,5,0.2146,0.0875,5,,Eleocharis smallii,Typha x glauca,Angeloni et al 2006,Angeloni et al 2006a,2006,45.663007,-84.423323,Observational,Freshwater wetland,Aquatic,0.45,1.35,0,0,1,NA
Soil humidity,%,Soil moisture,24.5707,1.4024,5,28.421,1.9802,5,NA,Cupania vernalis,Ligustrum lucidum,Aragón et al (2014),Aragón et al (2014)a,2014,27.16666667,-65.58333333,Observational,Forest,Terrestrial,22,10,1,1,NA,1
Inorganic nitrogen pools,micrograms of Nitrogen per gram of soil,Soil Nitrogen,4.35175,1.0032,25,6.06655,1.2829,25,,Styphelia tameiameiae,Melinis minutiflora,Asner at al (1996),Asner et al (1996)a,1996,21.125,-156.9583333,Observational,Scrub,Terrestrial,1.95,1.125,1,0,1,0
Soil moisture content,Percentage moisture content of soil fresh weight,Soil moisture,15,8,25,19,6,25,,Styphelia tameiameiae,Melinis minutiflora,Asner at al (1996),Asner et al (1996)a,1996,21.125,-156.9583333,Observational,Scrub,Terrestrial,1.95,1.125,1,0,1,0
Annual mean soil water nitrate concentration,mg nitrate per litre of water,Soil nitrogen,0.5217,0.2235,18,10.5466,4.6956,18,,Festuca ovina,Elaeagnus umbellata,Baer et al 2006,Baer et al 2006a,2006,37.69027778,-89.25388889,Observational,Grassland,Terrestrial,0.43,3.5,0,1,1,NA
Total inorganic N in soil,milligrams of nitrogen per metre squared,Soil Nitrogen,971.8446,222.4027,18,1753.5227,248.3531,18,,Festuca ovina,Elaeagnus umbellata,Baer et al 2006,Baer et al 2006a,2006,37.69027778,-89.25388889,Observational,Grassland,Terrestrial,0.43,3.5,0,1,1,NA
Total soil carbon,grams of carbon per metre squared (0-20cm depth),Soil carbon,3255.8,164.868766,12,3070.4,73.36818111,12,,Festuca ovina,Elaeagnus umbellata,Baer et al 2006,Baer et al 2006a,2006,37.69027778,-89.25388889,Observational,Grassland,Terrestrial,0.43,3.5,0,1,1,NA
Total soil nitrogen,grams of nitrogen per metre squared,Soil Nitrogen,344.1,8.08084154,12,347.9,6.66183158,12,,Festuca ovina,Elaeagnus umbellata,Baer et al 2006,Baer et al 2006a,2006,37.69027778,-89.25388889,Observational,Grassland,Terrestrial,0.43,3.5,0,1,1,NA
Soil phosphorus,parts per million of phosphorus in soil (0-10cm depth),Soil phosphorus,6.4,0.3,3,7,0.4,3,,Pleuraphis jamesii,Bromus tectorum,Belnap et al (2005),Belnap et al (2005)a,2005,38.24878,-109.873495,Observational,Grassland,Terrestrial,0.6,0.65,0,0,0,1
Organic matter,percentage soil organic matter,Soil carbon,0.9,0.1,3,1.3,0.1,3,,Pleuraphis jamesii,Bromus tectorum,Belnap et al (2005),Belnap et al (2005)a,2005,38.24878,-109.873495,Observational,Grassland,Terrestrial,0.6,0.65,0,0,0,1
Soil nitrogen,parts per million of nitrogen in soil (0-10cm depth),Soil Nitrogen,385,16,3,445,22,3,,Pleuraphis jamesii,Bromus tectorum,Belnap et al (2005),Belnap et al (2005)a,2005,38.24878,-109.873495,Observational,Grassland,Terrestrial,0.6,0.65,0,0,0,1
Soil ammonia,parts per million of ammonia in soil (0-10cm depth),Soil Nitrogen,9.5,0.8,3,12.2,4.2,3,,Pleuraphis jamesii,Bromus tectorum,Belnap et al (2005),Belnap et al (2005)a,2005,38.24878,-109.873495,Observational,Grassland,Terrestrial,0.6,0.65,0,0,0,1
Soil nitrate,parts per million of nitrate in soil (0-10cm depth),Soil Nitrogen,8.3,1.1,3,8.5,2.2,3,,Pleuraphis jamesii,Bromus tectorum,Belnap et al (2005),Belnap et al (2005)a,2005,38.24878,-109.873495,Observational,Grassland,Terrestrial,0.6,0.65,0,0,0,1
Soil Organic Carbon,,Soil carbon,6.625,0.690762461,3,5.325,0.058797686,3,,Carex lurida,Phalaris arundinacea,Bills et al (2011),Bills et al (2011)a,2011,39.279773,-86.573124,Observational,Freshwater wetland,Aquatic,1,2,0,0,1,1
Soil nitrogen content,,Soil Nitrogen,0.675,0.605185922,3,7.625,0.796476616,3,,Carex lurida,Phalaris arundinacea,Bills et al (2011),Bills et al (2011)a,2011,39.279773,-86.573124,Observational,Freshwater wetland,Aquatic,1,2,0,0,1,1
Soil nitrogen,%,Soil nitrogen,0.12,NA,6,0.18,NA,6,NA,Krascheninnikovia lanata,Bromus tectorum,Blank and Morgan (2013),Blank and Morgan (2013)a,2013,40.13888889,-120.0775,Observational,Scrub,Terrestrial,0.75,0.65,1,0,NA,1
Soil nitrogen,%,Soil nitrogen,0.16,NA,6,0.68,NA,6,NA,Krascheninnikovia lanata,Bromus tectorum,Blank and Morgan (2013),Blank and Morgan (2013)b,2013,40.13888889,-120.0775,Observational,Scrub,Terrestrial,0.75,0.65,1,0,NA,1
Soil nitrogen,mmol per kg,Soil nitrogen,0.83,NA,NA,1.51,NA,NA,SD,Krascheninnikovia lanata,Bromus tectorum,Blank and Morgan (2016),Blank and Morgan (2016)a,2016,40.13333333,-120.0666667,Observational,Scrub,Terrestrial,0.75,0.65,1,0,NA,1
Aboveground biomass,grams of biomass per metre squared,Aboveground biomass,147.8012,24.7796,5,214.8749,22.9445,5,,Krascheninnikovia lanata,Bromus tectorum,Blank et al 2008,Blank et al 2008a,2008,40.13633333,-120.0731667,Observational,Scrub,Terrestrial,0.75,0.65,1,0,NA,1
Total organic carbon,grams per kg of soil (0-5cm depth),Soil carbon,488.8,10.6,4,514.2,14,4,SD,Quercus robur,Quercus rubra,Bonifacio et al (2015),Bonifacio et al (2015)a,2015,45.14689,7.600758,Observational,Forest,Terrestrial,30,28,1,1,1,1
Total nitrogen ,grams per kg of soil (0-5cm depth),Soil nitrogen,10.8,0.9,4,14.6,1.2,4,,Quercus robur,Quercus rubra,Bonifacio et al (2015),Bonifacio et al (2015)a,2015,45.14689,7.600758,Observational,Forest,Terrestrial,30,28,1,1,1,1
Aboveground carbon storage,grams of carbon per metre squared,Aboveground biomass,340,145,10,96,26,10,,Artemisia tridentata,Bromus tectorum,Bradley et al 2006,Bradley et al 2006b,2006,41,-117.58,Observational,Scrub,Terrestrial,1.75,0.65,1,0,1,1
Carbon concentration of soil,Percentage carbon concentration (0-10cm),Soil carbon,1.03,0.037,40,1.37,0.04,40,,Artemisia tridentata,Bromus tectorum,Bradley et al 2006,Bradley et al 2006b,2006,41,-117.58,Observational,Scrub,Terrestrial,1.75,0.65,1,0,1,1
Aboveground carbon storage,grams of carbon per metre squared,Aboveground biomass,670,290,10,22,2,10,,Artemisia tridentata,Bromus tectorum,Bradley et al 2006,Bradley et al 2006c,2006,40.99,-117.86,Observational,Scrub,Terrestrial,1.75,0.65,1,0,1,1
Carbon concentration of soil,Percentage carbon content of soil (0-10cm depth),Soil carbon,0.85,0.034,40,0.8,0.034,40,,Artemisia tridentata,Bromus tectorum,Bradley et al 2006,Bradley et al 2006c,2006,40.99,-117.86,Observational,Scrub,Terrestrial,1.75,0.65,1,0,1,1
Aboveground carbon storage,grams of carbon per metre squared,Aboveground biomass,160,49,10,48,6,10,,Atriplex confertifolia,Bromus tectorum,Bradley et al 2006,Bradley et al 2006a,2006,40.57,-118.34,Observational,Scrub,Terrestrial,0.6,0.65,1,0,0,1
Carbon concentration,% carbon content of soil (0-10cm depth),Soil carbon,0.44,0.013,40,0.48,0.022,40,,Atriplex confertifolia,Bromus tectorum,Bradley et al 2006,Bradley et al 2006a,2006,40.57,-118.34,Observational,Scrub,Terrestrial,0.6,0.65,1,0,0,1
Runoff water nitrogen,%,Soil nitrogen,5.3,0.88,3,11.3,1.45,3,SD,Salix caprea,Robinia pseudoacacia,Buzhdygan et al (2015),Buzhdygan et al (2015)a,2015,40.28319444,26.13686111,Observational,Forest,Terrestrial,9,25,1,1,1,1
Runoff water nitrogen,%,Soil nitrogen,5.44,0.26,3,5.58,0.24,3,SD,Salix caprea,Robinia pseudoacacia,Buzhdygan et al (2015),Buzhdygan et al (2015)a,2015,40.28319444,26.13686111,Observational,Forest,Terrestrial,9,25,1,1,1,1
Soil moisture percentage,Percent soil moisture,Soil moisture,24.73333333,4.550549417,4,21.8,3.990927211,4,,Ulmus minor,Alianthus altissima,Castro Diez et al 2009,Castro Diez et al 2009a,2009,40.56666667,-3.2,Observational,Forest,Terrestrial,30,22,1,1,1,1
Organic matter,Soil percentage organic matter,Soil carbon,5.2,2.169677395,4,4.833333333,1.926136028,4,,Ulmus minor,Alianthus altissima,Castro Diez et al 2009,Castro Diez et al 2009a,2009,40.56666667,-3.2,Observational,Forest,Terrestrial,30,22,1,1,1,1
Soil nitrate pool,micrograms of nitrate per gram of soil,Soil Nitrogen,28.9449,2.677699189,4,28.18046667,3.91183806,4,,Ulmus minor,Alianthus altissima,Castro Diez et al 2009,Castro Diez et al 2009a,2009,40.56666667,-3.2,Observational,Forest,Terrestrial,30,22,1,1,1,1
Soil ammonia pool,micrograms of ammonia per gram of soil,Soil Nitrogen,22.42753333,1.32868366,4,19.49266667,1.289635253,4,,Ulmus minor,Alianthus altissima,Castro Diez et al 2009,Castro Diez et al 2009a,2009,40.56666667,-3.2,Observational,Forest,Terrestrial,30,22,1,1,1,1
Soil total mineral nitrogen pool,micrograms of mineralised nitrogen per gram of soil,Soil Nitrogen,50.81766667,4.382066332,4,48.45423333,3.250781853,4,,Ulmus minor,Alianthus altissima,Castro Diez et al 2009,Castro Diez et al 2009a,2009,40.56666667,-3.2,Observational,Forest,Terrestrial,30,22,1,1,1,1
Soil nitrate availability,micrograms of available nitrate per cm squared of soil,Soil Nitrogen,1.404666667,0.104109805,4,1.5073,0.117675975,4,,Ulmus minor,Alianthus altissima,Castro Diez et al 2009,Castro Diez et al 2009a,2009,40.56666667,-3.2,Observational,Forest,Terrestrial,30,22,1,1,1,1
Soil ammonia availability,micrograms of available ammonia per cm squared of soil,Soil Nitrogen,0.123566667,0.007051618,4,0.164266667,0.007527471,4,,Ulmus minor,Alianthus altissima,Castro Diez et al 2009,Castro Diez et al 2009a,2009,40.56666667,-3.2,Observational,Forest,Terrestrial,30,22,1,1,1,1
Soil total mineral nitrogen availability,micrograms of nitrogen per cm squared of soil,Soil Nitrogen,1.495366667,0.114974007,4,1.596533333,0.128132377,4,,Ulmus minor,Alianthus altissima,Castro Diez et al 2009,Castro Diez et al 2009a,2009,40.56666667,-3.2,Observational,Forest,Terrestrial,30,22,1,1,1,1
Soil moisture,Percentage soil moisture,Soil moisture,23,1.809696107,4,18.7,2.316246964,4,,Fraxinus angustifolia,Robinia pseudoacacia,Castro Diez et al 2009,Casto Diez et al 2009b,2009,40.56666667,-3.2,Observational,Forest,Terrestrial,25,25,1,1,1,1
Soil organic matter,Percentage soil organic matter,Soil carbon,4.333333333,0.524404424,4,4.3,0.806225775,4,,Fraxinus angustifolia,Robinia pseudoacacia,Castro Diez et al 2009,Casto Diez et al 2009b,2009,40.56666667,-3.2,Observational,Forest,Terrestrial,25,25,1,1,1,1
Soil nitrate pool,micrograms of nitrate per gram of soil,Soil Nitrogen,18.8896,1.390717276,4,31.02166667,1.484925047,4,,Fraxinus angustifolia,Robinia pseudoacacia,Castro Diez et al 2009,Casto Diez et al 2009b,2009,40.56666667,-3.2,Observational,Forest,Terrestrial,25,25,1,1,1,1
Soil ammonia pool,micrograms of ammonia per gram of soil,Soil Nitrogen,20.0727,1.272959731,4,18.04346667,1.186430906,4,,Fraxinus angustifolia,Robinia pseudoacacia,Castro Diez et al 2009,Casto Diez et al 2009b,2009,40.56666667,-3.2,Observational,Forest,Terrestrial,25,25,1,1,1,1
Soil total mineral nitrogen pool,micrograms of mineralised nitrogen per gram of soil,Soil Nitrogen,39.89796667,1.798849163,4,42.80706667,3.646827789,4,,Fraxinus angustifolia,Robinia pseudoacacia,Castro Diez et al 2009,Casto Diez et al 2009b,2009,40.56666667,-3.2,Observational,Forest,Terrestrial,25,25,1,1,1,1
Soil nitrate availability,micrograms of available nitrate per cm squared of soil,Soil Nitrogen,1.3256,0.133030596,4,1.432266667,0.117100371,4,,Fraxinus angustifolia,Robinia pseudoacacia,Castro Diez et al 2009,Casto Diez et al 2009b,2009,40.56666667,-3.2,Observational,Forest,Terrestrial,25,25,1,1,1,1
Soil ammonia availability,micrograms of available ammonia per cm squared of soil,Soil Nitrogen,0.123266667,0.007558635,4,0.147233333,0.013011737,4,,Fraxinus angustifolia,Robinia pseudoacacia,Castro Diez et al 2009,Casto Diez et al 2009b,2009,40.56666667,-3.2,Observational,Forest,Terrestrial,25,25,1,1,1,1
Soil total mineral nitrogen availability,micrograms of nitrogen per cm squared of soil,Soil Nitrogen,1.253733333,0.114846787,4,1.4928,0.109514821,4,,Fraxinus angustifolia,Robinia pseudoacacia,Castro Diez et al 2009,Casto Diez et al 2009b,2009,40.56666667,-3.2,Observational,Forest,Terrestrial,25,25,1,1,1,1
Soil phosphorus,,Soil phosphorus,18.5,4.313351365,8,23.7,5.868986284,8,,Propsopis juliflora,Kalanchoe daigremontiana,Chacon et al (2009),Chacon et al (2009)a,2009,10.12,-69.7,Observational,Forest,Terrestrial,12,1,1,0,0,0
Soil Organic carbon,,Soil carbon,2.5,0.070710678,8,2.9,0.106066017,8,,Propsopis juliflora,Kalanchoe daigremontiana,Chacon et al (2009),Chacon et al (2009)a,2009,10.12,-69.7,Observational,Forest,Terrestrial,12,1,1,0,0,0
Soil total nitrogen,,Soil Nitrogen,0.19,0.007071068,8,0.15,0.007071068,8,,Propsopis juliflora,Kalanchoe daigremontiana,Chacon et al (2009),Chacon et al (2009)a,2009,10.12,-69.7,Observational,Forest,Terrestrial,12,1,1,0,0,0
Belowground biomass,,Belowground biomass,246,35.35533906,8,180,9.192388155,8,,Propsopis juliflora,Kalanchoe daigremontiana,Chacon et al (2009),Chacon et al (2009)a,2009,10.12,-69.7,Observational,Forest,Terrestrial,12,1,1,0,0,0
Soil Organic carbon,,Soil carbon,1.6,0.106066017,8,2,0.070710678,8,,Opuntia caracassana,Stapelia gigantea,Chacon et al (2009),Chacon et al (2009)b,2009,10.12,-69.7,Observational,Scrub,Terrestrial,1.5,0.2,0,0,NA,NA
Soil total nitrogen,,Soil Nitrogen,0.14,0.010606602,8,0.15,0.010606602,8,,Opuntia caracassana,Stapelia gigantea,Chacon et al (2009),Chacon et al (2009)b,2009,10.12,-69.7,Observational,Scrub,Terrestrial,1.5,0.2,0,0,NA,NA
Soil phosphorus,,Soil phosphorus,16.8,4.384062043,8,19.7,6.470027048,8,,Opuntia caracassana,Stapelia gigantea,Chacon et al (2009),Chacon et al (2009)b,2009,10.12,-69.7,Observational,Scrub,Terrestrial,1.5,0.2,0,0,NA,NA
Belowground biomass,,Belowground biomass,286,39.59797975,8,500,47.72970773,8,,Opuntia caracassana,Stapelia gigantea,Chacon et al (2009),Chacon et al (2009)b,2009,10.12,-69.7,Observational,Scrub,Terrestrial,1.5,0.2,0,0,NA,NA
Total soil carbon,Percentage of soil carbon in soil (0-10cm depth),Soil carbon,3.01,0.326598632,6,3.91,0.367423461,6,,Dactylis glomerata,Solidago gigantea,Chapuis-Lardy et al 2006,Chapuis-Lardy et al 2006a,2006,50.85,4.416667,Observational,Wasteland,Terrestrial,0.8,2,0,0,1,1
Total soil nitrogen,Percentage soil nitrogen (0-10cm depth),Soil Nitrogen,0.17,0.020412415,6,0.22,0.016329932,6,,Dactylis glomerata,Solidago gigantea,Chapuis-Lardy et al 2006,Chapuis-Lardy et al 2006a,2006,50.85,4.416667,Observational,Wasteland,Terrestrial,0.8,2,0,0,1,1
Biomass,grams of dry matter per metre squared,Aboveground biomass,357,43.68256708,6,917,62.05374015,6,,Dactylis glomerata,Solidago gigantea,Chapuis-Lardy et al 2006,Chapuis-Lardy et al 2006a,2006,50.85,4.416667,Observational,Wasteland,Terrestrial,0.8,2,0,0,1,1
Total soil carbon,Percentage of soil carbon in soil (0-10cm depth),Soil carbon,1.48,0.065319726,6,1.8,0.220454077,6,,Agrostis stolonifera,Solidago gigantea,Chapuis-Lardy et al 2006,Chapuis-Lardy et al 2006b,2006,50.865778,4.469376,Observational,Grassland,Terrestrial,0.7,2,0,0,1,1
Total soil nitrogen,Percentage soil nitrogen (0-10cm depth),Soil Nitrogen,0.14,0.004082483,6,0.15,0.008164966,6,,Agrostis stolonifera,Solidago gigantea,Chapuis-Lardy et al 2006,Chapuis-Lardy et al 2006b,2006,50.865778,4.469376,Observational,Grassland,Terrestrial,0.7,2,0,0,1,1
Biomass,grams of dry matter per metre squared,Aboveground biomass,252,51.4392846,6,891,41.64132563,6,,Agrostis stolonifera,Solidago gigantea,Chapuis-Lardy et al 2006,Chapuis-Lardy et al 2006b,2006,50.865778,4.469376,Observational,Grassland,Terrestrial,0.7,2,0,0,1,1
Total soil carbon,Percentage of soil carbon in soil (0-10cm depth),Soil carbon,9.36,0.530722778,6,8.51,0.493980431,6,,Calamagrostis epigejos,Solidago gigantea,Chapuis-Lardy et al 2006,Chapuis-Lardy et al 2006c,2006,50.453569,3.819122,Observational,Grassland,Terrestrial,1.3,2,0,0,1,1
Total soil nitrogen,Percentage soil nitrogen (0-10cm depth),Soil Nitrogen,0.36,0.020412415,6,0.36,0.020412415,6,,Calamagrostis epigejos,Solidago gigantea,Chapuis-Lardy et al 2006,Chapuis-Lardy et al 2006c,2006,50.453569,3.819122,Observational,Grassland,Terrestrial,1.3,2,0,0,1,1
Biomass,grams of dry matter per metre squared,Aboveground biomass,438,69.81045767,6,760,69.40220938,6,,Calamagrostis epigejos,Solidago gigantea,Chapuis-Lardy et al 2006,Chapuis-Lardy et al 2006c,2006,50.453569,3.819122,Observational,Grassland,Terrestrial,1.3,2,0,0,1,1
Root biomass,kg per metre cubed,Belowground biomass,1.5483,0.1821,3,0.674,0.1457,3,SD,Kandelia obovata,Spartina alterniflor,Chen et al. (2015),Chen et al. (2015)a,2015,24.38333333,117.9,Observational,Coastal marsh,Aquatic,3,1.35,1,0,NA,0
Root biomass,kg per metre cubed,Belowground biomass,0.8197,0.1457,3,0.674,0.1457,3,SD,Cyperus malaccensis,Spartina alterniflor,Chen et al. (2015),Chen et al. (2015)b,2015,24.38333333,117.9,Observational,Coastal marsh,Aquatic,1,1.35,0,0,0,0
Total organic carbon,mg per gram of soil,Soil carbon,15.1708,2.676,3,20.9529,0.4807,3,SD,Kandelia obovata,Spartina alterniflor,Chen et al. (2015),Chen et al. (2015)a,2015,24.38333333,117.9,Observational,Coastal marsh,Aquatic,3,1.35,1,0,NA,0
Total organic carbon,mg per gram of soil,Soil carbon,13.4682,2.1955,3,20.9529,0.4807,3,SD,Cyperus malaccensis,Spartina alterniflor,Chen et al. (2015),Chen et al. (2015)b,2015,24.38333333,117.9,Observational,Coastal marsh,Aquatic,1,1.35,0,0,0,0
Soil No3,micrograms per gram of soil,Soil nitrogen,0.461,0.0717,3,0.431,0.1331,3,SD,Kandelia obovata,Spartina alterniflor,Chen et al. (2015),Chen et al. (2015)a,2015,24.38333333,117.9,Observational,Coastal marsh,Aquatic,3,1.35,1,0,NA,0
Soil No3,micrograms per gram of soil,Soil nitrogen,0.5817,0.0768,3,0.431,0.1331,3,SD,Cyperus malaccensis,Spartina alterniflor,Chen et al. (2015),Chen et al. (2015)b,2015,24.38333333,117.9,Observational,Coastal marsh,Aquatic,1,1.35,0,0,0,0
Soil NH4,micrograms per gram of soil,Soil nitrogen,4.3921,0.3596,3,2.1832,0.6165,3,SD,Kandelia obovata,Spartina alterniflor,Chen et al. (2015),Chen et al. (2015)a,2015,24.38333333,117.9,Observational,Coastal marsh,Aquatic,3,1.35,1,0,NA,0
Soil NH4,micrograms per gram of soil,Soil nitrogen,1.464,0.1541,3,2.1832,0.6165,3,SE,Cyperus malaccensis,Spartina alterniflor,Chen et al. (2015),Chen et al. (2015)b,2015,24.38333333,117.9,Observational,Coastal marsh,Aquatic,1,1.35,0,0,0,0
Aboveground biomass,,Aboveground biomass,1941.80858,131.92386,3,2405.3246,184.64098,3,,Phragmites australis,Spartina alterniflora,Cheng et al (2007),Cheng et al (2007)a,2007,31.15,122,Experimental,Freshwater wetland,Aquatic,2,1.35,0,0,1,0
Belowground biomass,,Belowground biomass,317.9285,89.20162,3,953.50408,95.16836,3,,Phragmites australis,Spartina alterniflora,Cheng et al (2007),Cheng et al (2007)a,2007,31.15,122,Experimental,Freshwater wetland,Aquatic,2,1.35,0,0,1,0
Soil carbon content,,Soil carbon,3.453883333,0.313166478,6,4.948516667,0.34459668,6,,Scirpus mariqueter,Spartina alterniflora,Cheng et al (2010),Cheng et al (2009)a,2010,31.15,122,Observational,Freshwater wetland,Aquatic,1.65,1.35,0,0,NA,0
Soil Water content,,Soil moisture,33.92985,0.787423882,6,38.238,0.817667905,6,,Scirpus mariqueter,Spartina alterniflora,Cheng et al (2010),Cheng et al (2009)a,2010,31.15,122,Observational,Freshwater wetland,Aquatic,1.65,1.35,0,0,NA,0
Aboveground biomass,,Aboveground biomass,42.0435,12.3299,5,69.75,15.27665,5,,Bouteloua gracialis,Agropyron cristatum,Christian et al (1999),Christian et al (1999)a,1999,49.36666667,-107.8833333,Observational,Grassland,Terrestrial,0.225,0.4,0,0,0,1
Belowground biomass,,Belowground biomass,550.2045,265.7428,5,115.03705,112.2513,5,,Bouteloua gracialis,Agropyron cristatum,Christian et al (1999),Christian et al (1999)a,1999,49.36666667,-107.8833333,Observational,Grassland,Terrestrial,0.225,0.4,0,0,0,1
Available soil nitrogen,,Soil Nitrogen,1.8406,0.584266667,5,0.9986,0.294666667,5,,Bouteloua gracialis,Agropyron cristatum,Christian et al (1999),Christian et al (1999)a,1999,49.36666667,-107.8833333,Observational,Grassland,Terrestrial,0.225,0.4,0,0,0,1
Total soil carbon,,Soil carbon,2.1788,0.1911,5,1.5777,0.1367,5,,Bouteloua gracialis,Agropyron cristatum,Christian et al (1999),Christian et al (1999)a,1999,49.36666667,-107.8833333,Observational,Grassland,Terrestrial,0.225,0.4,0,0,0,1
