EF_measure,Units.used.for.EF,EF_type,EF_UI,SE_UI,SS_UI,EF_I,SE_I,SS_I,Var,Dom_nat,Inv_sp,Study,SiteID,Year,Latitude,Longitude,Exp_obs,Ecosystem,Terr_aqu,Native_height,Inv_height,Native_woodiness,Inv_woodiness,Native_C3,Inv_C3
Soil carbon,Percentage soil carbon content (0-5cm depth),Soil carbon,7.7831,0.5982,6,6.8171,0.7363,6,,Pseudoroegneria spicata,Centaurea maculosa,Hook et al (2004),Hook et al (2004)g,2004,45.665,-110.6916667,Observational,Grassland,Terrestrial,0.8,0.91,0,0,1,1
Soil nitrogen,Percentage soil nitrogen content (0-5cm depth),Soil nitrogen,0.3455,0.0131,6,0.3161,0.0229,6,,Pseudoroegneria spicata,Centaurea maculosa,Hook et al (2004),Hook et al (2004)g,2004,45.665,-110.6916667,Observational,Grassland,Terrestrial,0.8,0.91,0,0,1,1
Soil carbon,Percentage soil carbon content (0-5cm depth),Soil carbon,3.9741,0.3221,6,3.7445,0.5523,6,,Pseudoroegneria spicata,Centaurea maculosa,Hook et al (2004),Hook et al (2004)h,2004,45.66,-110.665,Observational,Grassland,Terrestrial,0.8,0.91,0,0,1,1
Soil nitrogen,Percentage soil nitrogen content (0-5cm depth),Soil nitrogen,0.2455,0.0147,6,0.2242,0.0311,6,,Pseudoroegneria spicata,Centaurea maculosa,Hook et al (2004),Hook et al (2004)h,2004,45.66,-110.665,Observational,Grassland,Terrestrial,0.8,0.91,0,0,1,1
Soil carbon,Percentage soil carbon content (0-5cm depth),Soil carbon,4.1157,0.368,6,3.2417,0.368,6,,Pseudoroegneria spicata,Centaurea maculosa,Hook et al (2004),Hook et al (2004)i,2004,45.64333333,-110.9216667,Observational,Grassland,Terrestrial,0.8,0.91,0,0,1,1
Soil nitrogen,Percentage soil nitrogen content (0-5cm depth),Soil nitrogen,0.2668,0.0196,6,0.2111,0.0147,6,,Pseudoroegneria spicata,Centaurea maculosa,Hook et al (2004),Hook et al (2004)i,2004,45.64333333,-110.9216667,Observational,Grassland,Terrestrial,0.8,0.91,0,0,1,1
Aboveground biomass,Mg per ha,Aboveground biomass,240.3332,37.1986,5,279.3205,50.294,5,SD,Planchonella samoensis,Falcataria moluccana,Hughes et al. (2012),Hughes et al. (2012)a,2012,-14.298203,-170.715649,Observational,Forest,Terrestrial,40,30,1,1,NA,1
Aboveground carbon storage,kg per metre squared,Aboveground biomass,0.33,0.11,5,0.12,0.04,5,SD,Agrostis halli,Avena barbata,Koteen et al. (2011),Koteen et al. (2011)a,2011,37.862,-122.524,Observational,Grassland,Terrestrial,1,0.7,0,0,1,1
Aboveground carbon storage,kg per metre squared,Aboveground biomass,0.35,0.16,5,0.12,0.04,5,SD,Festuca rubra,Avena barbata,Koteen et al. (2011),Koteen et al. (2011)a,2011,37.862,-122.524,Observational,Grassland,Terrestrial,0.525,0.7,0,0,1,1
Aboveground carbon storage,kg per metre squared,Aboveground biomass,0.42,0.08,5,0.22,0.04,5,SD,Agrostis halli,Avena barbata,Koteen et al. (2011),Koteen et al. (2011)a,2011,37.862,-122.524,Observational,Grassland,Terrestrial,1,0.7,0,0,1,1
Aboveground carbon storage,kg per metre squared,Aboveground biomass,0.37,0.13,5,0.22,0.04,5,SD,Festuca rubra,Avena barbata,Koteen et al. (2011),Koteen et al. (2011)a,2011,37.862,-122.524,Observational,Grassland,Terrestrial,0.525,0.7,0,0,1,1
Aboveground carbon storage,kg per metre squared,Aboveground biomass,0.42,0.06,5,0.22,0.03,5,SD,Agrostis halli,Avena barbata,Koteen et al. (2011),Koteen et al. (2011)a,2011,37.862,-122.524,Observational,Grassland,Terrestrial,1,0.7,0,0,1,1
Aboveground carbon storage,kg per metre squared,Aboveground biomass,0.37,0.1,5,0.22,0.03,5,SD,Festuca rubra,Avena barbata,Koteen et al. (2011),Koteen et al. (2011)a,2011,37.862,-122.524,Observational,Grassland,Terrestrial,0.525,0.7,0,0,1,1
Total soil carbon,,Soil carbon,17.6,0.4,5,14.9,0.4,5,SD,Nassella pulchra,Brachypodium distachyon,Koteen et al. (2011),Koteen et al. (2011)a,2011,37.862,-122.524,Observational,Grassland,Terrestrial,1,0.727321138,0,0,NA,1
Total soil carbon,,Soil carbon,16.9,0.4,5,14.9,0.4,5,SD,Nassella pulchra,Brachypodium distachyon,Koteen et al. (2011),Koteen et al. (2011)a,2011,37.862,-122.524,Observational,Grassland,Terrestrial,1,0.727321138,0,0,NA,1
Aboveground carbon storage,,Aboveground biomass,0.26,0.15,5,0.17,0.04,5,SD,Nassella pulchra,Brachypodium distachyon,Koteen et al. (2011),Koteen et al. (2011)b,2011,37.931,-122.524,Observational,Grassland,Terrestrial,1,0.727321138,0,0,NA,1
Aboveground carbon storage,,Aboveground biomass,0.26,0.1,5,0.28,0.07,5,SD,Nassella pulchra,Brachypodium distachyon,Koteen et al. (2011),Koteen et al. (2011)b,2011,37.931,-122.524,Observational,Grassland,Terrestrial,1,0.727321138,0,0,NA,1
Aboveground carbon storage,,Aboveground biomass,0.26,0.08,5,0.28,0.05,5,SD,Nassella pulchra,Brachypodium distachyon,Koteen et al. (2011),Koteen et al. (2011)b,2011,37.931,-122.524,Observational,Grassland,Terrestrial,1,0.727321138,0,0,NA,1
Total soil carbon,,Soil carbon,14.7,0.04,5,9.5,0.2,5,SE,Nassella pulchra,Brachypodium distachyon,Koteen et al. (2011),Koteen et al. (2011)b,2011,37.931,-122.524,Observational,Grassland,Terrestrial,1,0.727321138,0,0,NA,1
Total soil carbon,percentage soil carbon,Soil carbon,1.64,0.073484692,6,1.8,0.122474487,6,,Epilobium hirsutum,Solidago gigantea,Koutika et al (2007),Koutika et al (2007)a,2007,50.25936,6.06888,Observational,Grassland,Terrestrial,2,2,0,0,1,1
Total soil nitrogen,percentage soil nitrogen,Soil Nitrogen,0.2,0.02857738,6,0.17,0.004082483,6,,Epilobium hirsutum,Solidago gigantea,Koutika et al (2007),Koutika et al (2007)a,2007,50.25936,6.06888,Observational,Grassland,Terrestrial,2,2,0,0,1,1
Total soil carbon,percentage soil carbon,Soil carbon,1.91,0.081649658,6,2.45,0.130639453,6,,Agrostis stolonifera,Prunus serotina,Koutika et al (2007),Koutika et al (2007)d,2007,51.21992,4.39625,Observational,Grassland,Terrestrial,0.7,29,0,1,1,1
Total soil nitrogen,percentage soil nitrogen,Soil Nitrogen,0.27,0.053072278,6,0.44,0.081649658,6,,Agrostis stolonifera,Prunus serotina,Koutika et al (2007),Koutika et al (2007)d,2007,51.21992,4.39625,Observational,Grassland,Terrestrial,0.7,29,0,1,1,1
Total soil carbon,percentage soil carbon,Soil carbon,15.92,1.959591794,6,10.78,0.845073961,6,,Glechoma hederacea,Heracleum mantegazzianum,Koutika et al (2007),Koutika et al (2007)h,2007,50.800919,4.414715,Observational,Forest,Terrestrial,0.275,3.75,0,0,1,1
Total soil nitrogen,percentage soil nitrogen,Soil Nitrogen,1.02,0.15513435,6,0.64,0.057154761,6,,Glechoma hederacea,Heracleum mantegazzianum,Koutika et al (2007),Koutika et al (2007)h,2007,50.800919,4.414715,Observational,Forest,Terrestrial,0.275,3.75,0,0,1,1
Total soil carbon,percentage soil carbon,Soil carbon,9.42,0.493980431,6,8.47,0.816496581,6,,Eupatorium cannabinum,Fallopia japonica,Koutika et al (2007),Koutika et al (2007)j,2007,51.05844,5.27176,Observational,Forest,Terrestrial,1.5,3.5,0,0,1,1
Total soil nitrogen,percentage soil nitrogen,Soil Nitrogen,0.59,0.163299316,6,0.38,0.020412415,6,,Eupatorium cannabinum,Fallopia japonica,Koutika et al (2007),Koutika et al (2007)j,2007,51.05844,5.27176,Observational,Forest,Terrestrial,1.5,3.5,0,0,1,1
Soil nitrogen,milligrams of nitrogen per grams of dry soil,Soil Nitrogen,16,19,10,3,2,10,,Metrosideros polymorpha,Myrica cerifera,Kurten et al (2008),Kurten et al (2008)a,2008,19.733421,-155.090389,Observational,Forest,Terrestrial,22.5,6,1,1,1,NA
Soil carbon,milligrams of carbon per gram of dry soil,Soil carbon,528,165,10,532,56,10,,Metrosideros polymorpha,Myrica cerifera,Kurten et al (2008),Kurten et al (2008)a,2008,19.733421,-155.090389,Observational,Forest,Terrestrial,22.5,6,1,1,1,NA
Available ammonium,micrograms of ammonium per gram of dry soil,Soil Nitrogen,3.1,2.3,10,5.7,2.1,10,,Metrosideros polymorpha,Myrica cerifera,Kurten et al (2008),Kurten et al (2008)a,2008,19.733421,-155.090389,Observational,Forest,Terrestrial,22.5,6,1,1,1,NA
Soil moisture,grams of water per grams of wet soil,Soil moisture,70,3,10,59,3,10,,Metrosideros polymorpha,Myrica cerifera,Kurten et al (2008),Kurten et al (2008)a,2008,19.733421,-155.090389,Observational,Forest,Terrestrial,22.5,6,1,1,1,NA
Total soil organic carbon,,Soil carbon,27.45,1.77,9,40.56,6.91,9,SE,Quercus ilex,Acacia dealbata,Lazzaro et al. (2014),Lazzaro et al. (2014)a,2014,42.811389,10.416355,Observational,Forest,Terrestrial,12.5,8.5,1,1,1,1
Total soil nitrogen,,Soil carbon,2.04,0.11,9,3.32,0.4,9,SE,Quercus ilex,Acacia dealbata,Lazzaro et al. (2014),Lazzaro et al. (2014)a,2014,42.811389,10.416355,Observational,Forest,Terrestrial,12.5,8.5,1,1,1,1
Total inorganic nitrogen,micrograms per gram of soil,Soil nitrogen,0.68,0.1,15,1.14,0.12,15,SE,Eupatorium perfoliatum,Microstegium vimineum,Lee et al (2012),Lee et al (2012)a,2012,39.21916667,-86.54138889,Observational,Forest,Terrestrial,1,0.7,0,0,1,0
Total plant biomass,,Aboveground biomass,2.18,0.09,15,4.36,0.16,15,SE,Eupatorium perfoliatum,Microstegium vimineum,Lee et al (2012),Lee et al (2012)a,2012,39.21916667,-86.54138889,Observational,Forest,Terrestrial,1,0.7,0,0,1,0
Carbon stocks (Soil plus plant),kilograms per metre squared to 100 cm depth,Aboveground biomass,19.51,1,10,20.94,1,10,,Phragmites australis,Spartina alterniflora,Liao et al (2007),Liao et al (2007)a,2007,30.16666667,122.0166667,Observational,Coastal marsh,Aquatic,2,1.35,0,0,1,0
Soil nitrogen,%,Soil nitrogen,0.05477,0.00909,4,0.45187,0.03791,4,SE,Acacia longifolia,Chrysanthemoides monilifera,Lindsay et al (2005),Lindsay et al (2005)a,2005,-34.96666667,150.7833333,Observational,Scrub,Terrestrial,10,3,1,1,1,0
Soil ammonia,milligrams per kilogram of soil,Soil ammonia,1.41202,0.34373,4,1.95398,0.44302,4,SE,Acacia longifolia,Chrysanthemoides monilifera,Lindsay et al (2005),Lindsay et al (2005)b,2005,-34.96666667,150.7833333,Observational,Scrub,Terrestrial,10,3,1,1,1,0
Soil nitrate,milligrams per kilogram of soil,Soil nitrate,0.5391,0.10804,4,1.70399,0.34727,4,SE,Acacia longifolia,Chrysanthemoides monilifera,Lindsay et al (2005),Lindsay et al (2005)b,2005,-34.96666667,150.7833333,Observational,Scrub,Terrestrial,10,3,1,1,1,0
Soil nitrogen,%,Soil nitrogen,0.03334,0.00606,4,0.08473,0.00909,4,SE,Acacia longifolia,Chrysanthemoides monilifera,Lindsay et al (2005),Lindsay et al (2005)b,2005,-34.96666667,150.7833333,Observational,Scrub,Terrestrial,10,3,1,1,1,0
Soil ammonia,milligrams per kilogram of soil,Soil ammonia,1.13197,0.28261,4,1.73503,0.19861,4,SE,Acacia longifolia,Chrysanthemoides monilifera,Lindsay et al (2005),Lindsay et al (2005)c,2005,-34.96666667,150.7833333,Observational,Scrub,Terrestrial,10,3,1,1,1,0
Soil nitrate,milligrams per kilogram of soil,Soil nitrate,1.47542,0.20837,4,1.12008,0.10803,4,SE,Acacia longifolia,Chrysanthemoides monilifera,Lindsay et al (2005),Lindsay et al (2005)c,2005,-34.96666667,150.7833333,Observational,Scrub,Terrestrial,10,3,1,1,1,0
Soil nitrogen,%,Soil nitrogen,0.01477,0.00606,4,0.0419,0.00606,4,SE,Acacia longifolia,Chrysanthemoides monilifera,Lindsay et al (2005),Lindsay et al (2005)c,2005,-34.96666667,150.7833333,Observational,Scrub,Terrestrial,10,3,1,1,1,0
Soil ammonia,milligrams per kilogram of soil,Soil ammonia,1.48205,0.27497,4,2.36009,0.2368,4,SE,Acacia longifolia,Chrysanthemoides monilifera,Lindsay et al (2005),Lindsay et al (2005)d,2005,-34.96666667,150.7833333,Observational,Scrub,Terrestrial,10,3,1,1,1,0
Soil nitrate,milligrams per kilogram of soil,Soil nitrate,0.74874,0.10804,4,1.18053,0.1852,4,SE,Acacia longifolia,Chrysanthemoides monilifera,Lindsay et al (2005),Lindsay et al (2005)d,2005,-34.96666667,150.7833333,Observational,Scrub,Terrestrial,10,3,1,1,1,0
Soil nitrogen,%,Soil nitrogen,0.01572,0.00607,4,0.03678,0.00608,4,SE,Acacia longifolia,Chrysanthemoides monilifera,Lindsay et al (2005),Lindsay et al (2005)d,2005,-34.96666667,150.7833333,Observational,Scrub,Terrestrial,10,3,1,1,1,0
Belowground biomass,g per metre squared,Belowground biomass,0.8807,0.0179,5,1.2286,0.0219,5,SE,Selaginella densa,Agropyron cristatum,MacDougall and Wilson (2011),MacDougall and Wilson (2011)a,2011,49.36666667,107.8833333,Observational,Grassland,Terrestrial,0.04,0.4,0,0,1,1
Soil carbon,milligrams per gram of soil,Soil carbon,0.4489,0.0465,5,0.4236,0.0327,5,SE,Selaginella densa,Agropyron cristatum,MacDougall and Wilson (2011),MacDougall and Wilson (2011)a,2011,49.36666667,107.8833333,Observational,Grassland,Terrestrial,0.04,0.4,0,0,1,1
Soil nitrogen,,Soil nitrogen,0.1135,0.0084,5,0.3527,0.091,5,,Pinus rigida,Robinia pseudoacacia,Malcolm et al (2008),Malcolm et al (2008)a,2008,42.70338,-73.83894,Observational,Forest,Terrestrial,18,25,1,1,1,1
Soil moisture,percentage soil water content,Soil moisture,6.933333333,0.769786705,7,4.333333333,0.151738497,7,SE,Taxodium distichum,Melaleuca quinquenervia,Martin et al 2009,Martin et al 2009a,2009,25.995081,-81.482849,Observational,Forest,Terrestrial,32.5,20,1,1,1,1
Soil organic matter,percentage organic matter,Soil carbon,2.5,0.349461831,7,2.166666667,0.089942839,7,SE,Taxodium distichum,Melaleuca quinquenervia,Martin et al 2009,Martin et al 2009a,2009,25.995081,-81.482849,Observational,Forest,Terrestrial,32.5,20,1,1,1,1
Soil carbon,milligrams per gram of soil,Soil carbon,16.3,1.263701197,7,11.4,0.679626053,7,SE,Taxodium distichum,Melaleuca quinquenervia,Martin et al 2009,Martin et al 2009a,2009,25.995081,-81.482849,Observational,Forest,Terrestrial,32.5,20,1,1,1,1
Soil nitrogen,milligrams per gram of soil,Soil nitrogen,1.55,0.067168232,7,0.635,0.021782857,7,SE,Taxodium distichum,Melaleuca quinquenervia,Martin et al 2009,Martin et al 2009a,2009,25.995081,-81.482849,Observational,Forest,Terrestrial,32.5,20,1,1,1,1
Soil phosphorus,micrograms per gram of soil,Soil phosphorus,36.8,2.628779728,7,12.5,0.479190389,7,SE,Taxodium distichum,Melaleuca quinquenervia,Martin et al 2009,Martin et al 2009a,2009,25.995081,-81.482849,Observational,Forest,Terrestrial,32.5,20,1,1,1,1
Aboveground biomass,kilograms per metre squared,Aboveground biomass,3.54003,0.55849,7,5.0667,0.92425,7,SE,Taxodium distichum,Melaleuca quinquenervia,Martin et al 2009,Martin et al 2009a,2009,25.995081,-81.482849,Observational,Forest,Terrestrial,32.5,20,1,1,1,1
Root biomass,grams per metre squared,Belowground biomass,261.9,31.6,7,587.8,42.4,7,SE,Taxodium distichum,Melaleuca quinquenervia,Martin et al 2009,Martin et al 2009a,2009,25.995081,-81.482849,Observational,Forest,Terrestrial,32.5,20,1,1,1,1
Aboveground biomass,kilograms per metre squared,Aboveground biomass,28.9,8.3,8,14.6,3.3,4,,Acer rubrum,Rhamnus cathartica,Mascaro and Schnitzer (2011),Mascaro and Schnitzer (2011)a,2011,42.762371,-88.133196,Observational,Forest,Terrestrial,15,10,1,1,1,1
Soil carbon,%,Soil carbon,2.65,0.15,10,3.74,0.34,10,,Pascopyrum smithii,Bromus tectorum,Concilio et al. (2015),Concilio et al. (2015)a,2015,40.11666667,105.3,Observational,Grassland,Terrestrial,0.6,0.65,0,0,1,1
Soil nitrogen,%,Soil nitrogen,0.22,0.01,10,0.32,0.03,10,,Pascopyrum smithii,Bromus tectorum,Concilio et al. (2015),Concilio et al. (2015)a,2015,40.11666667,105.3,Observational,Grassland,Terrestrial,0.6,0.65,0,0,1,1
Soil nitrogen ,%,Soil nitrogen,0.33,0.02,3,0.33,0.01,3,,Carya laciniosa,Lonicera maackii,McEwan et al. (2012),McEwan et al. (2012)a,2012,38.015313,-84.505241,Observational,Forest,Terrestrial,36.9,6,1,1,1,1
Soil nitrogen ,%,Soil nitrogen,0.36,0.01,3,0.4,0.02,3,,Carya laciniosa,Lonicera maackii,McEwan et al. (2012),McEwan et al. (2012)b,2012,38.015313,-84.505241,Observational,Forest,Terrestrial,36.9,6,1,1,1,1
Soil nitrogen ,%,Soil nitrogen,0.56,0.03,3,0.6,0.03,3,,Carya laciniosa,Lonicera maackii,McEwan et al. (2012),McEwan et al. (2012)c,2012,38.015313,-84.505241,Observational,Forest,Terrestrial,36.9,6,1,1,1,1
Soil carbon,%,Soil carbon,3.87,0.21,3,4.01,0.16,3,,Carya laciniosa,Lonicera maackii,McEwan et al. (2012),McEwan et al. (2012)a,2012,38.015313,-84.505241,Observational,Forest,Terrestrial,36.9,6,1,1,1,1
Soil carbon,%,Soil carbon,4.06,0.17,3,4.46,0.31,3,,Carya laciniosa,Lonicera maackii,McEwan et al. (2012),McEwan et al. (2012)b,2012,38.015313,-84.505241,Observational,Forest,Terrestrial,36.9,6,1,1,1,1
Soil carbon,%,Soil carbon,7.76,0.46,3,7.68,0.48,3,,Carya laciniosa,Lonicera maackii,McEwan et al. (2012),McEwan et al. (2012)c,2012,38.015313,-84.505241,Observational,Forest,Terrestrial,36.9,6,1,1,1,1
Soil phosphorus,%,Soil phosphorus,0.03,0.01,3,0.03,0.01,3,,Carya laciniosa,Lonicera maackii,McEwan et al. (2012),McEwan et al. (2012)a,2012,38.015313,-84.505241,Observational,Forest,Terrestrial,36.9,6,1,1,1,1
Soil phosphorus,%,Soil phosphorus,0.11,0.01,3,0.09,0.01,3,,Carya laciniosa,Lonicera maackii,McEwan et al. (2012),McEwan et al. (2012)b,2012,38.015313,-84.505241,Observational,Forest,Terrestrial,36.9,6,1,1,1,1
Soil phosphorus,%,Soil phosphorus,0.17,0.01,3,0.14,0.01,3,,Carya laciniosa,Lonicera maackii,McEwan et al. (2012),McEwan et al. (2012)c,2012,38.015313,-84.505241,Observational,Forest,Terrestrial,36.9,6,1,1,1,1
Soil organic matter,%,Soil carbon,0.9384,0.0739,3,0.8533,0.1404,3,,Fraxinus anustifola,Ailanthus altissima,Medina-Villar et al. (2015),Medina-Villar et al. (2015)a,2015,40.57530556,-3.229611111,Observational,Forest,Terrestrial,25,22,1,1,1,1
Soil organic matter,%,Soil carbon,0.508,0.0591,4,2.1595,0.3694,3,,Poplus alba,Robinia pseudoacacia,Medina-Villar et al. (2015),Medina-Villar et al. (2015)b,2015,40.94677778,-2.937694444,Observational,Forest,Terrestrial,21.5,25,1,1,1,1
Soil nitrogen,%,Soil nitrogen,0.0472,0.0035,3,0.048,0.0057,3,,Fraxinus anustifola,Ailanthus altissima,Medina-Villar et al. (2015),Medina-Villar et al. (2015)a,2015,40.57530556,-3.229611111,Observational,Forest,Terrestrial,25,22,1,1,1,1
Soil nitrogen,%,Soil nitrogen,0.0232,0.0023,4,0.1006,0.0171,3,,Poplus alba,Robinia pseudoacacia,Medina-Villar et al. (2015),Medina-Villar et al. (2015)b,2015,40.94677778,-2.937694444,Observational,Forest,Terrestrial,21.5,25,1,1,1,1
Soil phosphorus,%,Soil phosphorus,0.1169,0.0171,3,0.1463,0.0287,3,,Fraxinus anustifola,Ailanthus altissima,Medina-Villar et al. (2015),Medina-Villar et al. (2015)a,2015,40.57530556,-3.229611111,Observational,Forest,Terrestrial,25,22,1,1,1,1
Soil phosphorus,%,Soil phosphorus,0.0628,0.0095,4,0.1505,0.0271,3,,Poplus alba,Robinia pseudoacacia,Medina-Villar et al. (2015),Medina-Villar et al. (2015)b,2015,40.94677778,-2.937694444,Observational,Forest,Terrestrial,21.5,25,1,1,1,1
Nitrogen concentration of soil,mmol per kilogram dry soil (0-15 cm),Soil Nitrogen,18.348,0.353,50,26.773,1.203,69,,Leucospermum parile,Acacia saligna,Musil et al (1993),Musil et al (1993),1993,-33.513919,18.549385,Observational,Scrub,Terrestrial,2.75,4,1,1,1,1
Soil phosphorus content,mmol per kilogram dry soil (0-15 cm),Soil phosphorus,0.129,0.009,50,0.16,0.01,69,,Leucospermum parile,Acacia saligna,Musil et al (1993),Musil et al (1993),1993,-33.513919,18.549385,Observational,Scrub,Terrestrial,2.75,4,1,1,1,1
Mean daily evapotranspiration,millimetres of water per day,Water supply,4.1565,0.3808,5,4.6442,0.3319,5,,Populus deltoides,Tamarix ramosissima,Nagler et al 2005,Nagler et al 2005a,2005,33.8,-106.9,Observational,Forest,Terrestrial,30,8,1,1,1,1
Mean daily evapotranspiration,millimetres of water per day,Water supply,5.1028,3.1712,5,0.371,0.2831,5,,Populus deltoides,Tamarix ramosissima,Nagler et al 2005,Nagler et al 2005b,2005,34.3,-106.8,Observational,Forest,Terrestrial,30,8,1,1,1,1
Soil organic carbon,grams of carbon per kilogram,Soil carbon,43.1,2.01246118,5,62.7,3.443544685,5,SE,Setaria plicata,Ageratina adenophora,Niu et al (2007),Niu et al (2007)a,2007,24.70394444,102.8801667,Observational,Forest,Terrestrial,0.875,1.5,0,0,0,NA
Total soil nitrogen,grams of nitrogen per kilogram,Soil Nitrogen,4.4,0.178885438,5,4.7,0.178885438,5,SE,Setaria plicata,Ageratina adenophora,Niu et al (2007),Niu et al (2007)a,2007,24.70394444,102.8801667,Observational,Forest,Terrestrial,0.875,1.5,0,0,0,NA
Soil nitrate,milligrams of nitrate per kilogram,Soil Nitrogen,14.44,0.939148551,5,32.5,2.146625258,5,SE,Setaria plicata,Ageratina adenophora,Niu et al (2007),Niu et al (2007)a,2007,24.70394444,102.8801667,Observational,Forest,Terrestrial,0.875,1.5,0,0,0,NA
Soil ammonia,milligrams of ammonia per kilogram,Soil Nitrogen,28.1,1.386362146,5,39.3,1.431083506,5,SE,Setaria plicata,Ageratina adenophora,Niu et al (2007),Niu et al (2007)a,2007,24.70394444,102.8801667,Observational,Forest,Terrestrial,0.875,1.5,0,0,0,NA
Total soil phosphorus,grams of phosphorus per kilogram,Soil phosphorus,0.6,0.02236068,5,0.6,0.031304952,5,SE,Setaria plicata,Ageratina adenophora,Niu et al (2007),Niu et al (2007)a,2007,24.70394444,102.8801667,Observational,Forest,Terrestrial,0.875,1.5,0,0,0,NA
Soil water content,percentage soil water content,Soil moisture,25.3,0.491934955,5,24.6,0.939148551,5,SE,Setaria plicata,Ageratina adenophora,Niu et al (2007),Niu et al (2007)a,2007,24.70394444,102.8801667,Observational,Forest,Terrestrial,0.875,1.5,0,0,0,NA
Soil organic matter,grams per kg of soil,Soil carbon,14.8191,0.9841,NA,10.1013,0.521,NA,,Retama raetam,Haloxylon persicum,Noumi (2015),Noumi (2015)a,2015,9.011666667,33.66555556,Observational,Desert,Terrestrial,3,4.75,1,1,1,1
Soil nitrogen,grams per kg of soil,Soil nitrogen,1.079,0.0472,NA,0.7997,0.0404,NA,,Retama raetam,Haloxylon persicum,Noumi (2015),Noumi (2015)a,2015,9.011666667,33.66555556,Observational,Desert,Terrestrial,3,4.75,1,1,1,1
Soil phosphorus,grams per kg of soil,Soil phosphorus,0.0704,0.0053,NA,0.036,0.0017,NA,,Retama raetam,Haloxylon persicum,Noumi (2015),Noumi (2015)a,2015,9.011666667,33.66555556,Observational,Desert,Terrestrial,3,4.75,1,1,1,1
Aboveground biomass,,Aboveground biomass,0.708925,0.156257138,20,0.480575,0.054350377,20,,Phragmites australis,Spartina alterniflora,Peng et al (2011),Peng et al (2011)a,2011,31.41666667,121.8333333,Observational,Coastal marsh,Aquatic,2,1.35,0,0,1,0
Aboveground biomass,,Aboveground biomass,244.38905,3.580123999,40,129.0636875,2.564227863,40,,Anthemis arvensis,Oxalis pes-caprae,Petsikos et al (2007),Petsikos et al (2007)a,2007,39.13333333,26.51666667,Observational,Forest,Terrestrial,0.35,0.225,0,0,1,1
Aboveground biomass,grams per metre squared,Aboveground biomass,138.55185,17.95442432,7,208.7871,14.492593,7,SE,Avena fatua,Cynara cardunculus,Potts et al (2008),Potts et al (2008)a,2008,33.38,-117.5,Observational,Grassland,Terrestrial,0.75,1.15,0,0,1,1
Evapotranspiration,millimols of carbon dioxide per metre squared per second,Water supply,1.822433333,0.097985968,7,2.302966667,0.21154662,7,SE,Avena fatua,Cynara cardunculus,Potts et al (2008),Potts et al (2008)a,2008,33.38,-117.5,Observational,Grassland,Terrestrial,0.75,1.15,0,0,1,1
Volumetric soil moisture,percentage,Soil moisture,14.82363333,1.099866769,7,17.06303333,1.119307906,7,SE,Avena fatua,Cynara cardunculus,Potts et al (2008),Potts et al (2008)a,2008,33.38,-117.5,Observational,Grassland,Terrestrial,0.75,1.15,0,0,1,1
Soil organic carbon,grams per kg of soil,Soil carbon,22.08,0.66,NA,26.92,0.67,NA,,Cynodon dactylon,Ambrosia artemisiifolia,Qin et al. (2014),Qin et al. (2014)a,2014,24.8,113.6,Observational,Grassland,Terrestrial,0.155,1,0,0,0,1
Soil organic carbon,grams per kg of soil,Soil carbon,21.83,0.54,NA,22.65,0.74,NA,,Toxicodendron vernicifluu,Ambrosia artemisiifolia,Qin et al. (2014),Qin et al. (2014)b,2014,24.8,113.6,Observational,Grassland,Terrestrial,20,1,1,0,1,1
Soil nitrogen,grams per kg of soil,Soil nitrogen,1.19,0.015,NA,1.37,0.041,NA,,Cynodon dactylon,Ambrosia artemisiifolia,Qin et al. (2014),Qin et al. (2014)a,2014,24.8,113.6,Observational,Grassland,Terrestrial,0.155,1,0,0,0,1
