SiteID,Latitude,Longitude
Belnap et al (2005)a,38.24878,-109.873495
Belnap et al (2005)a,38.24878,-109.873495
Belnap et al (2005)a,38.24878,-109.873495
Belnap et al (2005)a,38.24878,-109.873495
Belnap et al (2005)a,38.24878,-109.873495
Belnap et al (2005)a,38.24878,-109.873495
Belnap et al (2005)a,38.24878,-109.873495
Ellis et al 1998a,33.79213,-106.871309
Ellis et al 1998a,33.79213,-106.871309
Fickbohm et al 2006a,43,-76.75
Fickbohm et al 2006a,43,-76.75
Fickbohm et al 2006a,43,-76.75
Fickbohm et al 2006a,43,-76.75
Fickbohm et al 2006a,43,-76.75
Fisher et al 2006a,-31.947447,115.781136
Fisher et al 2006a,-31.947447,115.781136
Fisher et al 2006a,-31.947447,115.781136
Fisher et al 2006a,-31.947447,115.781136
Fisher et al 2006a,-31.947447,115.781136
Allison et al 2006a,19.44805556,-154.8611111
Allison et al 2006a,19.44805556,-154.8611111
Allison et al 2006a,19.44805556,-154.8611111
Allison et al 2006b,19.41972222,-154.9538889
Allison et al 2006b,19.41972222,-154.9538889
Allison et al 2006b,19.41972222,-154.9538889
Allison et al 2006b,19.41972222,-154.9538889
Allison et al 2006c,19.41972222,-154.9538889
Allison et al 2006c,19.41972222,-154.9538889
Allison et al 2006c,19.41972222,-154.9538889
Angeloni et al 2006a,45.663007,-84.423323
Angeloni et al 2006a,45.663007,-84.423323
Angeloni et al 2006a,45.663007,-84.423323
Angeloni et al 2006a,45.663007,-84.423323
Angeloni et al 2006a,45.663007,-84.423323
Angeloni et al 2006a,45.663007,-84.423323
Baer et al 2006a,37.69027778,-89.25388889
Baer et al 2006a,37.69027778,-89.25388889
Baer et al 2006a,37.69027778,-89.25388889
Baer et al 2006a,37.69027778,-89.25388889
Baer et al 2006a,37.69027778,-89.25388889
Baer et al 2006a,37.69027778,-89.25388889
Baer et al 2006a,37.69027778,-89.25388889
Baer et al 2006a,37.69027778,-89.25388889
Baer et al 2006a,37.69027778,-89.25388889
Baer et al 2006a,37.69027778,-89.25388889
Baer et al 2006a,37.69027778,-89.25388889
Busch et al 1995a,34.83333333,-114.5833333
Busch et al 1995a,34.83333333,-114.5833333
Busch et al 1995a,34.83333333,-114.5833333
Busch et al 1995a,34.83333333,-114.5833333
Busch et al 1995a,34.83333333,-114.5833333
Busch et al 1995a,34.83333333,-114.5833333
Busch et al 1995a,34.83333333,-114.5833333
Busch et al 1995a,34.83333333,-114.5833333
Busch et al 1995a,34.83333333,-114.5833333
Busch et al 1995a,34.83333333,-114.5833333
Bradley et al 2006b,41,-117.58
Bradley et al 2006b,41,-117.58
Bradley et al 2006c,40.99,-117.86
Bradley et al 2006c,40.99,-117.86
Caldwell 2006a,39.33536,-123.800812
Caldwell 2006a,39.33536,-123.800812
Caldwell 2006a,39.33536,-123.800812
Caldwell 2006a,39.33536,-123.800812
Caldwell 2006a,39.33536,-123.800812
Caldwell 2006a,39.33536,-123.800812
Caldwell 2006a,39.33536,-123.800812
Caldwell 2006a,39.33536,-123.800812
Castro Diez et al 2009a,40.56666667,-3.2
Castro Diez et al 2009a,40.56666667,-3.2
Castro Diez et al 2009a,40.56666667,-3.2
Castro Diez et al 2009a,40.56666667,-3.2
Castro Diez et al 2009a,40.56666667,-3.2
Castro Diez et al 2009a,40.56666667,-3.2
Castro Diez et al 2009a,40.56666667,-3.2
Castro Diez et al 2009a,40.56666667,-3.2
Castro Diez et al 2009a,40.56666667,-3.2
Castro Diez et al 2009a,40.56666667,-3.2
Castro Diez et al 2009a,40.56666667,-3.2
Castro Diez et al 2009a,40.56666667,-3.2
Castro Diez et al 2009a,40.56666667,-3.2
Castro Diez et al 2009a,40.56666667,-3.2
Castro Diez et al 2009a,40.56666667,-3.2
Castro Diez et al 2009a,40.56666667,-3.2
Castro Diez et al 2009a,40.56666667,-3.2
Castro Diez et al 2009a,40.56666667,-3.2
Castro Diez et al 2009a,40.56666667,-3.2
Castro Diez et al 2009a,40.56666667,-3.2
Casto Diez et al 2009b,40.56666667,-3.2
Casto Diez et al 2009b,40.56666667,-3.2
Casto Diez et al 2009b,40.56666667,-3.2
Casto Diez et al 2009b,40.56666667,-3.2
Casto Diez et al 2009b,40.56666667,-3.2
Casto Diez et al 2009b,40.56666667,-3.2
Casto Diez et al 2009b,40.56666667,-3.2
Casto Diez et al 2009b,40.56666667,-3.2
Casto Diez et al 2009b,40.56666667,-3.2
Casto Diez et al 2009b,40.56666667,-3.2
Casto Diez et al 2009b,40.56666667,-3.2
Casto Diez et al 2009b,40.56666667,-3.2
Casto Diez et al 2009b,40.56666667,-3.2
Casto Diez et al 2009b,40.56666667,-3.2
Casto Diez et al 2009b,40.56666667,-3.2
Casto Diez et al 2009b,40.56666667,-3.2
Casto Diez et al 2009b,40.56666667,-3.2
Casto Diez et al 2009b,40.56666667,-3.2
Casto Diez et al 2009b,40.56666667,-3.2
Casto Diez et al 2009b,40.56666667,-3.2
Douglas et al 2004a,-13.15,130.65
Douglas et al 2004a,-13.15,130.65
Douglas et al 2004a,-13.15,130.65
Douglas et al 2004a,-13.15,130.65
Fisher et al 2006b,-31.947556,115.78105
Fisher et al 2006b,-31.947556,115.78105
Funk 2005a,19.41666667,-155.25
Funk 2005a,19.41666667,-155.25
Funk 2005a,19.41666667,-155.25
Funk 2005a,19.41666667,-155.25
Funk 2005a,19.41666667,-155.25
Funk 2005a,19.41666667,-155.25
Funk 2005a,19.41666667,-155.25
Haubensak et al 2004a,46.91666667,-123.2666667
Haubensak et al 2004a,46.91666667,-123.2666667
Haubensak et al 2004a,46.91666667,-123.2666667
Haubensak et al 2004a,46.91666667,-123.2666667
Haubensak et al 2004a,46.91666667,-123.2666667
Haubensak et al 2004a,46.91666667,-123.2666667
Haubensak et al 2004a,46.91666667,-123.2666667
Haubensak et al 2004a,46.91666667,-123.2666667
Hook et al (2004)a,45.45833333,-110.6066667
Hook et al (2004)a,45.45833333,-110.6066667
Hook et al (2004)a,45.45833333,-110.6066667
Hook et al (2004)b,25.39833333,-110.7033333
Hook et al (2004)b,25.39833333,-110.7033333
Hook et al (2004)b,25.39833333,-110.7033333
Hook et al (2004)c,46.55,-111.7616667
Hook et al (2004)c,46.55,-111.7616667
Hook et al (2004)c,46.55,-111.7616667
Hook et al (2004)d,45.595,-111.09
Hook et al (2004)d,45.595,-111.09
Hook et al (2004)d,45.595,-111.09
Hook et al (2004)e,45.77833333,-111.26
Hook et al (2004)e,45.77833333,-111.26
Hook et al (2004)e,45.77833333,-111.26
Hook et al (2004)f,45.59833333,-111.195
Hook et al (2004)f,45.59833333,-111.195
Hook et al (2004)f,45.59833333,-111.195
Hook et al (2004)g,45.665,-110.6916667
Hook et al (2004)g,45.665,-110.6916667
Hook et al (2004)g,45.665,-110.6916667
Hook et al (2004)h,45.66,-110.665
Hook et al (2004)h,45.66,-110.665
Hook et al (2004)h,45.66,-110.665
Hook et al (2004)i,45.64333333,-110.9216667
Hook et al (2004)i,45.64333333,-110.9216667
Hook et al (2004)i,45.64333333,-110.9216667
Hughes et al 2005a,19.44805556,-154.8611111
Hughes et al 2005b,19.41972222,-154.9538889
Hughes et al 2005c,19.41972222,-154.9538889
Cleverly et al (2006)b,34.95888889,-106.6997222
Cleverly et al (2006)b,34.95888889,-106.6997222
Prater et al (2006)a,39.85,-119.8166667
Prater et al (2006)a,39.85,-119.8166667
Nagler et al 2005a,33.8,-106.9
Nagler et al 2005b,34.3,-106.8
Hatler et al (2009)a,31.692,-103.622
Koutika et al (2007)a,50.25936,6.06888
Koutika et al (2007)a,50.25936,6.06888
Koutika et al (2007)a,50.25936,6.06888
Koutika et al (2007)a,50.25936,6.06888
Koutika et al (2007)b,50.870629,4.314821
Koutika et al (2007)c,51.05844,5.27176
Koutika et al (2007)d,51.21992,4.39625
Koutika et al (2007)d,51.21992,4.39625
Koutika et al (2007)d,51.21992,4.39625
Koutika et al (2007)d,51.21992,4.39625
Koutika et al (2007)e,51.130699,2.750243
Koutika et al (2007)f,51.130699,2.750243
Koutika et al (2007)g,50.871845,4.314795
Koutika et al (2007)h,50.800919,4.414715
Koutika et al (2007)h,50.800919,4.414715
Koutika et al (2007)h,50.800919,4.414715
Koutika et al (2007)h,50.800919,4.414715
Koutika et al (2007)i,50.800919,4.414715
Koutika et al (2007)j,51.05844,5.27176
Koutika et al (2007)j,51.05844,5.27176
Koutika et al (2007)j,51.05844,5.27176
Koutika et al (2007)j,51.05844,5.27176
Kurten et al (2008)a,19.733421,-155.090389
Kurten et al (2008)a,19.733421,-155.090389
Kurten et al (2008)a,19.733421,-155.090389
Kurten et al (2008)a,19.733421,-155.090389
Kurten et al (2008)a,19.733421,-155.090389
Kurten et al (2008)a,19.733421,-155.090389
Kurten et al (2008)a,19.733421,-155.090389
Kurten et al (2008)a,19.733421,-155.090389
Bradley et al 2006a,40.57,-118.34
Bradley et al 2006a,40.57,-118.34
Fraser et al (2011)a,50.75579,-120.465775
Fraser et al (2011)a,50.75579,-120.465775
Fraser et al (2011)a,50.75579,-120.465775
Fraser et al (2011)a,50.75579,-120.465775
Fraser et al (2011)a,50.75579,-120.465775
Fraser et al (2011)a,50.75579,-120.465775
Fraser et al (2011)a,50.75579,-120.465775
Fraser et al (2011)a,50.75579,-120.465775
Goldstein et al (2006)a,37.72218889,-89.30602778
Goldstein et al (2006)a,37.72218889,-89.30602778
Goldstein et al (2006)a,37.72218889,-89.30602778
Goldstein et al (2006)a,37.72218889,-89.30602778
Goldstein et al (2006)a,37.72218889,-89.30602778
Goldstein et al (2006)a,37.72218889,-89.30602778
Hacker et al (2006)b,48.23333333,-122.7333333
Hall et al (2007)a,19.344837,-155.474396
Hall et al (2007)a,19.344837,-155.474396
Hall et al (2007)a,19.344837,-155.474396
Hall et al (2007)a,19.344837,-155.474396
Hall et al (2007)a,19.344837,-155.474396
Hall et al (2007)a,19.344837,-155.474396
Hamerlynk et al (2010)a,31.8214,-110.8661
Heneghan et al (2006)a,42.143742,-88.042717
Heneghan et al (2006)a,42.143742,-88.042717
Heneghan et al (2006)a,42.143742,-88.042717
Heneghan et al (2006)b,41.81457,-88.055935
Heneghan et al (2006)b,41.81457,-88.055935
Heneghan et al (2006)b,41.81457,-88.055935
Heneghan et al (2006)b,41.81457,-88.055935
Heneghan et al (2006)b,41.81457,-88.055935
Heneghan et al (2006)b,41.81457,-88.055935
Heneghan et al (2006)b,41.81457,-88.055935
Heneghan et al (2006)b,41.81457,-88.055935
Heneghan et al (2006)b,41.81457,-88.055935
Heneghan et al (2006)b,41.81457,-88.055935
Heneghan et al (2006)b,41.81457,-88.055935
Heneghan et al (2006)b,41.81457,-88.055935
Heneghan et al (2006)b,41.81457,-88.055935
Heneghan et al (2006)b,41.81457,-88.055935
Heneghan et al (2006)b,41.81457,-88.055935
Heneghan et al (2006)c,42.149755,-87.780998
Heneghan et al (2006)c,42.149755,-87.780998
Heneghan et al (2006)c,42.149755,-87.780998
Heneghan et al (2006)c,42.149755,-87.780998
Heneghan et al (2006)c,42.149755,-87.780998
Heneghan et al (2006)c,42.149755,-87.780998
Heneghan et al (2006)c,42.149755,-87.780998
Heneghan et al (2006)c,42.149755,-87.780998
Heneghan et al (2006)c,42.149755,-87.780998
Heneghan et al (2006)c,42.149755,-87.780998
Heneghan et al (2006)c,42.149755,-87.780998
Heneghan et al (2006)c,42.149755,-87.780998
Heneghan et al (2006)c,42.149755,-87.780998
Heneghan et al (2006)c,42.149755,-87.780998
Heneghan et al (2006)c,42.149755,-87.780998
Heneghan et al (2004)a,42.149755,-87.780998
Heneghan et al (2004)a,42.149755,-87.780998
Heneghan et al (2004)a,42.149755,-87.780998
Heneghan et al (2004)a,42.149755,-87.780998
Heneghan et al (2004)a,42.149755,-87.780998
Heneghan et al (2004)a,42.149755,-87.780998
Heneghan et al (2004)a,42.149755,-87.780998
Heneghan et al (2004)a,42.149755,-87.780998
Heneghan et al (2004)a,42.149755,-87.780998
Herr et al (2007)a,50.859927,4.464912
Herr et al (2007)a,50.859927,4.464912
Herr et al (2007)a,50.859927,4.464912
Ignace et al (2007)a,31.877558,-110.882263
Litton et al (2006)a,19.76805556,-155.9386111
Liao et al (2008)a,30.16666667,122.0166667
Malcolm et al (2008)a,42.70338,-73.83894
Malcolm et al (2008)a,42.70338,-73.83894
Malcolm et al (2008)a,42.70338,-73.83894
Malcolm et al (2008)a,42.70338,-73.83894
Malcolm et al (2008)a,42.70338,-73.83894
Petsikos et al (2007)a,39.13333333,26.51666667
Rimer et al (2006)a,38.044035,-109.734879
Rimer et al (2006)a,38.044035,-109.734879
Rimer et al (2006)a,38.044035,-109.734879
Rimer et al (2006)a,38.044035,-109.734879
Rimer et al (2006)a,38.044035,-109.734879
Rimer et al (2006)a,38.044035,-109.734879
Rothman et al (2007)a,41.61666667,-83.23333333
Rothman et al (2007)a,41.61666667,-83.23333333
Rothman et al (2007)a,41.61666667,-83.23333333
Rothman et al (2007)a,41.61666667,-83.23333333
Rothman et al (2007)a,41.61666667,-83.23333333
Rout et al (2008)a,32.837121,-97.479286
Rout et al (2008)a,32.837121,-97.479286
Rout et al (2008)a,32.837121,-97.479286
Rout et al (2008)a,32.837121,-97.479286
Rout et al (2008)a,32.837121,-97.479286
Scharfy et al (2010)a,47.4,8.5
Scharfy et al (2010)a,47.4,8.5
Scharfy et al (2010)b,47.4,8.5
Scharfy et al (2010)c,47.4,8.5
Shaben et al (2009)a,48.325,-122.4583333
Shaben et al (2009)a,48.325,-122.4583333
Shaben et al (2009)a,48.325,-122.4583333
Shaben et al (2009)b,48.57933333,-123.5216667
Shaben et al (2009)b,48.57933333,-123.5216667
Shaben et al (2009)b,48.57933333,-123.5216667
Sharma et al (1998)a,27.5,76
Strickland et al (2010)a,33.88783333,-88.6345
Thorpe et al (2010)a,47.328425,-114.219596
Thorpe et al (2010)a,47.328425,-114.219596
Thorpe et al (2010)a,47.328425,-114.219596
Thorpe et al (2010)a,47.328425,-114.219596
Thorpe et al (2010)a,47.328425,-114.219596
Thorpe et al (2010)a,47.328425,-114.219596
Peng et al (2011)a,31.41666667,121.8333333
Peng et al (2011)a,31.41666667,121.8333333
Nosshi et al (2007)a,44.140627,-100.279706
Nosshi et al (2007)a,44.140627,-100.279706
Nosshi et al (2007)b,44.140627,-100.279706
Nosshi et al (2007)b,44.140627,-100.279706
Rossiter-Racher et al (2009)a,-12.71666667,131.8166667
Rossiter-Racher et al (2009)a,-12.71666667,131.8166667
Rossiter-Racher et al (2009)a,-12.71666667,131.8166667
Rossiter-Racher et al (2009)a,-12.71666667,131.8166667
Rossiter-Racher et al (2009)a,-12.71666667,131.8166667
Rossiter-Racher et al (2009)a,-12.71666667,131.8166667
Abella et al (2013)a,32.296745,-111.166626
Aragón et al (2014)a,27.16666667,-65.58333333
Blank and Morgan (2013)a,40.13888889,-120.0775
Blank and Morgan (2013)b,40.13888889,-120.0775
Blank and Morgan (2016)a,40.13333333,-120.0666667
Bonifacio et al (2015)a,45.14689,7.600758
Bonifacio et al (2015)a,45.14689,7.600758
,,
,,
Buzhdygan et al (2015)a,40.28319444,26.13686111
Buzhdygan et al (2015)a,40.28319444,26.13686111
Chen et al. (2015)a,24.38333333,117.9
Chen et al. (2015)b,24.38333333,117.9
Chen et al. (2015)a,24.38333333,117.9
Chen et al. (2015)b,24.38333333,117.9
Chen et al. (2015)a,24.38333333,117.9
Chen et al. (2015)b,24.38333333,117.9
Chen et al. (2015)a,24.38333333,117.9
Chen et al. (2015)b,24.38333333,117.9
Constan-Nava et al. 2015a,38.67944444,0.521944444
Fink and Wilson (2011)a,49.06833333,-106.5308056
Fink and Wilson (2011)a,49.06833333,-106.5308056
Fink and Wilson (2011)a,49.06833333,-106.5308056
Gaertner et al. (2011)a,-34.5483,19.46143611
Gaertner et al. (2011)b,-34.5483,19.46143611
Gaertner et al. (2011)a,-34.5483,19.46143611
Gaertner et al. (2011)b,-34.5483,19.46143611
Gaertner et al. (2011)a,-34.5483,19.46143611
Gaertner et al. (2011)b,-34.5483,19.46143611
Geddes et al. (2014)a,41.654373,-87.052651
Geddes et al. (2014)b,41.654373,-87.052651
Geddes et al. (2014)c,41.654373,-87.052651
Geddes et al. (2014)a,41.654373,-87.052651
Geddes et al. (2014)b,41.654373,-87.052651
Geddes et al. (2014)c,41.654373,-87.052651
Geddes et al. (2014)a,41.654373,-87.052651
Geddes et al. (2014)b,41.654373,-87.052651
Geddes et al. (2014)c,41.654373,-87.052651
Geddes et al. (2014)a,41.654373,-87.052651
Geddes et al. (2014)b,41.654373,-87.052651
Geddes et al. (2014)c,41.654373,-87.052651
Hellmann et al. (2011)a,38.25,-8.766666667
Hellmann et al. (2011)a,38.25,-8.766666667
Hellmann et al. (2011)a,38.25,-8.766666667
Hughes et al. (2012)a,-14.3,170.6833333
Koteen et al. (2011)a,37.862,122.524
Koteen et al. (2011)a,37.862,122.524
Koteen et al. (2011)a,37.862,122.524
Koteen et al. (2011)a,37.862,122.524
Koteen et al. (2011)a,37.862,122.524
Koteen et al. (2011)a,37.862,122.524
Koteen et al. (2011)a,37.862,122.524
Koteen et al. (2011)a,37.862,122.524
Koteen et al. (2011)b,37.931,122.673
Koteen et al. (2011)b,37.931,122.673
Koteen et al. (2011)b,37.931,122.673
Koteen et al. (2011)b,37.931,122.673
Lazzaro et al. (2014)a,42.811389,10.416355
Lazzaro et al. (2014)a,42.811389,10.416355
Lee et al (2012)a,39.21916667,-86.54138889
Lee et al (2012)a,39.21916667,-86.54138889
MacDougall and Wilson (2011)a,49.36666667,107.8833333
MacDougall and Wilson (2011)a,49.36666667,107.8833333
Mascaro and Schnitzer (2011)a,42.762371,-88.133196
Masta and Onnor (2015)a,40.11666667,105.3
Masta and Onnor (2015)a,40.11666667,105.3
McEwan et al. (2012)a,38.015313,-84.505241
McEwan et al. (2012)b,38.015313,-84.505241
McEwan et al. (2012)c,38.015313,-84.505241
McEwan et al. (2012)a,38.015313,-84.505241
McEwan et al. (2012)b,38.015313,-84.505241
McEwan et al. (2012)c,38.015313,-84.505241
McEwan et al. (2012)a,38.015313,-84.505241
McEwan et al. (2012)b,38.015313,-84.505241
McEwan et al. (2012)c,38.015313,-84.505241
Medina-Villar et al. (2015)a,40.57530556,-3.229611111
Medina-Villar et al. (2015)b,40.94677778,-2.937694444
Medina-Villar et al. (2015)a,40.57530556,-3.229611111
Medina-Villar et al. (2015)b,40.94677778,-2.937694444
Medina-Villar et al. (2015)a,40.57530556,-3.229611111
Medina-Villar et al. (2015)b,40.94677778,-2.937694444
Noumi (2015)a,9.011666667,33.66555556
Noumi (2015)a,9.011666667,33.66555556
Noumi (2015)a,9.011666667,33.66555556
Qin et al. (2014)a,24.8,113.6
Qin et al. (2014)b,24.8,113.6
Qin et al. (2014)a,24.8,113.6
Qin et al. (2014)b,24.8,113.6
Qin et al. (2014)a,24.8,113.6
Qin et al. (2014)b,24.8,113.6
Rascher et al. (2011)a,38.25,-8.766666667
Rodrigues et al. (2015)a,38.88553,-78.13844
Rodrigues et al. (2015)b,37.28108,-80.47523
Rodrigues et al. (2015)c,39.05923,-78.05428
Sarkhot et al. (2012)a,28.9587,-100.645
Spirito et al (2014)a,-35.93333333,-61.2
Spirito et al (2014)a,-35.93333333,-61.2
Spirito et al (2014)a,-35.93333333,-61.2
Spirito et al (2014)a,-35.93333333,-61.2
Spirito et al (2014)a,-35.93333333,-61.2
Spirito et al (2014)a,-35.93333333,-61.2
Stark and Norton (2015)a,39.90333333,-108.4008333
Stark and Norton (2015)a,39.90333333,-108.4008333
Stark and Norton (2015)a,39.90333333,-108.4008333
"Tekiela and
Barney (2015)a",37.281008,-80.475236
"Tekiela and
Barney (2015)a",37.281008,-80.475236
"Tekiela and
Barney (2015)a",37.281008,-80.475236
"Tekiela and
Barney (2015)a",37.281008,-80.475236
"Timsina and
Shrestha (2011)a",Look up,Look up
"Timsina and
Shrestha (2011)a",Look up,Look up
"Timsina and
Shrestha (2011)a",Look up,Look up
Tong et al. (2012)a,26.01,119.57
Tong et al. (2012)a,26.01,119.57
