"","submitted_name","matched_name","data_source_title","score"
"1","Acacia cyclops","Acacia cyclops","NCBI",0.988
"2","Acacia dealbata","Acacia dealbata","NCBI",0.988
"3","Acacia longifola","Acacia longifolia (Andrews)Willd.","Catalogue of Life",0.75
"4","Acacia longifolia","Acacia longifolia","NCBI",0.988
"5","Acacia saligna","Acacia saligna","NCBI",0.988
"6","Acer rubrum","Acer rubrum","NCBI",0.988
"7","Acer saccharinum","Acer saccharinum","NCBI",0.988
"8","Acer saccharum","Acer saccharum","Catalogue of Life",0.988
"9","Achillea millefolium","Achillea millefolium","NCBI",0.988
"10","Acrachne racemosa","Acrachne racemosa","NCBI",0.988
"11","Aegilops triuncialis","Aegilops triuncialis","NCBI",0.988
"12","Ageratina adenophora","Ageratina adenophora","NCBI",0.988
"13","Agropyron cristatum","Agropyron cristatum","NCBI",0.988
"14","Agrostis halli","Agrostis hallii Vasey","Catalogue of Life",0.75
"15","Agrostis","Agrostis","Catalogue of Life",0.75
"16","Agrostis stolonifera","Agrostis stolonifera","NCBI",0.988
"17","Ailanthus altissima","Ailanthus altissima","NCBI",0.988
"18","Alectryon excelsus","Alectryon excelsus","Catalogue of Life",0.988
"19","Alianthus altissima","Ailanthus altissima (Miller) Swingle","Catalogue of Life",0.75
"20","Allaria petiolata","Alliaria petiolata (M.Bieb.) Cavara & Grande","Catalogue of Life",0.75
"21","Alloteropsis semialata","Alloteropsis semialata","NCBI",0.988
"22","Ambrosia artemisiifolia","Ambrosia artemisiifolia","NCBI",0.988
"23","Andropogon bladhii","Andropogon bladhii","uBio NameBank",0.988
"24","Andropogon gayanus","Andropogon gayanus","NCBI",0.988
"25","Andropogon gerardii","Andropogon gerardii","NCBI",0.988
"26","Anthemis arvensis","Anthemis arvensis","NCBI",0.988
"27","Arrhenatherum elatius","Arrhenatherum elatius","NCBI",0.988
"28","Artemisia californica","Artemisia californica","NCBI",0.988
"29","Artemisia tridentata","Artemisia tridentata","NCBI",0.988
"30","Arundo donax","Arundo donax","NCBI",0.988
"31","Atriplex confertifolia","Atriplex confertifolia","NCBI",0.988
"32","Avena barbata","Avena barbata","NCBI",0.988
"33","Avena fatua","Avena fatua","NCBI",0.988
"34","Banksia","Banksia","Catalogue of Life",0.75
"35","Berberis thunbergii","Berberis thunbergii","NCBI",0.988
"36","Bouteloua gracialis","Bouteloua gracilis Vasey","Catalogue of Life",0.75
"37","Brachypodium distachyon","Brachypodium distachyon","NCBI",0.988
"38","Bromus inermis","Bromus inermis","NCBI",0.988
"39","Bromus madritensis","Bromus madritensis","NCBI",0.988
"40","Bromus","Bromus","Catalogue of Life",0.75
"41","Bromus tectorum","Bromus tectorum","NCBI",0.988
"42","Calamagrostis epigejos","Calamagrostis epigejos","Freebase",0.988
"43","Carex acutiformis","Carex acutiformis","NCBI",0.988
"44","Carex elata","Carex elata","NCBI",0.988
"45","Carex lurida","Carex lurida","NCBI",0.988
"46","Carex stricta","Carex stricta","NCBI",0.988
"47","Carpobrotus","Carpobrotus","Catalogue of Life",0.75
"48","Carya laciniosa","Carya laciniosa","NCBI",0.988
"49","Centairea solsititialis","Centaurea solstitialis L.","Catalogue of Life",0.75
"50","Centaurea diffusa","Centaurea diffusa","NCBI",0.988
"51","Centaurea maculosa","Centaurea maculosa","NCBI",0.988
"52","Centaurea stoebe","Centaurea stoebe","NCBI",0.988
"53","Chrysanthemoides monilifera","Chrysanthemoides monilifera","NCBI",0.988
"54","Corema album","Corema album","NCBI",0.988
"55","Cortaderia selloana","Cortaderia selloana","NCBI",0.988
"56","Cupania porphyria","Cupania","Catalogue of Life",0.75
"57","Cynara cardunculus","Cynara cardunculus","NCBI",0.988
"58","Cynodon dactylon","Cynodon dactylon","NCBI",0.988
"59","Cyperus malaccensis","Cyperus malaccensis","uBio NameBank",0.988
"60","Cytisus scoparius","Cytisus scoparius","NCBI",0.988
"61","Dactylis glomerata","Dactylis glomerata","NCBI",0.988
"62","Diospyros sandwicensis","Diospyros sandwicensis","NCBI",0.988
"63","Distichlis spicata","Distichlis spicata","NCBI",0.988
"64","Ehrharta calycina","Ehrharta calycina","NCBI",0.988
"65","Elaeagnus umbellata","Elaeagnus umbellata","NCBI",0.988
"66","Eleocharis smallii","Eleocharis smallii","CU*STAR",0.988
"67","Encelia farinosa","Encelia farinosa","NCBI",0.988
"68","Epilobium hirsutum","Epilobium hirsutum","NCBI",0.988
"69","Eragrostis lehmanniana","Eragrostis lehmanniana","NCBI",0.988
"70","Euclea racemosa","Euclea racemosa","NCBI",0.988
"71","Eupatorium cannabinum","Eupatorium cannabinum","NCBI",0.988
"72","Eupatorium perfoliatum","Eupatorium perfoliatum","NCBI",0.988
"73","Fagus sylvatica","Fagus sylvatica","NCBI",0.988
"74","Falcataria moluccana","Falcataria moluccana","NCBI",0.988
"75","Fallopia japonica","Fallopia japonica","NCBI",0.988
"76","Festuca arundinacea","Festuca arundinacea","NCBI",0.988
"77","Festuca campestris","Festuca campestris","EOL",0.988
"78","Festuca idahoensis","Festuca idahoensis","NCBI",0.988
"79","Festuca ovina","Festuca ovina","NCBI",0.988
"80","Festuca rubra","Festuca rubra","NCBI",0.988
"81","Ficinia","Ficinia","Catalogue of Life",0.75
"82","Fraxinus angustifolia","Fraxinus angustifolia","Wikispecies",0.988
"83","Fraxinus anustifola","Fraxinus angustifolia Vahl , nom. cons.","Catalogue of Life",0.75
"84","Galium palustre","Galium palustre","NCBI",0.988
"85","Glechoma hederacea","Glechoma hederacea","NCBI",0.988
"86","Haloxylon persicum","Haloxylon persicum","NCBI",0.988
"87","Hedychium gardnerianum","Hedychium gardnerianum","NCBI",0.988
"88","Heracleum mantegazzianum","Heracleum mantegazzianum","NCBI",0.988
"89","Heracleum sphondylium","Heracleum sphondylium","Catalogue of Life",0.988
"90","Hesperostipa comata","Hesperostipa comata","NCBI",0.988
"91","Heteropogon contortus","Heteropogon contortus","NCBI",0.988
"92","Impatiens glandulifera","Impatiens glandulifera","NCBI",0.988
"93","Kalanchoe daigremontiana","Kalanchoe daigremontiana","NCBI",0.988
"94","Kandelia obovata","Kandelia obovata","NCBI",0.988
"95","Krascheninnikovia lanata","Krascheninnikovia lanata","NCBI",0.988
"96","Lantana camara","Lantana camara","NCBI",0.988
"97","Ligustrum lucidum","Ligustrum lucidum","NCBI",0.988
"98","Liriodendron tulipifera","Liriodendron tulipifera","NCBI",0.988
"99","Lonicera maackii","Lonicera maackii","NCBI",0.988
"100","Lupinus luteus","Lupinus luteus","NCBI",0.988
"101","Lythrum salicaria","Lythrum salicaria","Catalogue of Life",0.988
"102","Macropiper excelsum","Macropiper excelsum","Catalogue of Life",0.988
"103","Maianthmum canadense","Maianthemum canadense Desf.","Catalogue of Life",0.75
"104","Melaleuca quinquenervia","Melaleuca quinquenervia","NCBI",0.988
"105","Melilotus","Melilotus","Catalogue of Life",0.75
"106","Melinis minutiflora","Melinis minutiflora","NCBI",0.988
"107","Metrosideros polymorpha","Metrosideros polymorpha","NCBI",0.988
"108","Microstegium vimineum","Microstegium vimineum","NCBI",0.988
"109","Mikania micrantha","Mikania micrantha","NCBI",0.988
"110","Mimulus guttatus","Mimulus guttatus","Freebase",0.988
"111","Molinia caerulea","Molinia caerulea","NCBI",0.988
"112","Myrica cerifera","Myrica cerifera","Freebase",0.988
"113","Myrica faya","Myrica faya","Freebase",0.988
"114","Nassella pulchra","Nassella pulchra","NCBI",0.988
"115","Nassella viridula","Nassella viridula","NCBI",0.988
"116","Opuntia caracassana","Opuntia caracassana","NCBI",0.988
"117","Oryzopsis hymenoides","Oryzopsis hymenoides","Freebase",0.988
"118","Oxalis pes-caprae","Oxalis pes-caprae","NCBI",0.988
"119","Panicum virgatum","Panicum virgatum","NCBI",0.988
"120","Parthenium hysterophorus","Parthenium hysterophorus","NCBI",0.988
"121","Pascopyrum smithii","Pascopyrum smithii","NCBI",0.988
"122","Paspalum quadrifarium","Paspalum quadrifarium","NCBI",0.988
"123","Paspulum conjugatum","Paspalum conjugatum P.J.Bergius","Catalogue of Life",0.75
"124","Pelargonium capitatum","Pelargonium capitatum","NCBI",0.988
"125","Pennisetum ciliare","Pennisetum ciliare","EOL",0.988
"126","Pennisetum clandestinum","Pennisetum clandestinum","Freebase",0.988
"127","Pennisetum polystachion","Pennisetum polystachion","EOL",0.988
"128","Pennisetum setaceum","Pennisetum setaceum","Union 4",0.988
"129","Petasites hybridus","Petasites hybridus","NCBI",0.988
"130","Phalaris arundinacea","Phalaris arundinacea","NCBI",0.988
"131","Phragmites australis","Phragmites australis","NCBI",0.988
"132","Pilosella officinarum","Pilosella officinarum","NCBI",0.988
"133","Pinus pinaster","Pinus pinaster","NCBI",0.988
"134","Planchonella samoensis","Planchonella samoensis","uBio NameBank",0.988
"135","Pleuraphis jamesii","Pleuraphis jamesii","Freebase",0.988
"136","Pluchea sericea","Pluchea sericea","NCBI",0.988
"137","Poa cita","Poa cita","NCBI",0.988
"138","Poa pratensis","Poa pratensis","NCBI",0.988
"139","Poplus alba","Populus alba","Catalogue of Life",0.75
"140","Populus deltoides","Populus deltoides","Catalogue of Life",0.988
"141","Populus","Populus","Catalogue of Life",0.75
"142","Propsopis juliflora","Propsopis juliflora","EOL",0.988
"143","Prosopis cineraria","Prosopis cineraria","NCBI",0.988
"144","Prosopis juliflora","Prosopis juliflora","NCBI",0.988
"145","Prunus serotina","Prunus serotina","NCBI",0.988
"146","Quercus alba","Quercus alba","NCBI",0.988
"147","Quercus ilex","Quercus ilex","NCBI",0.988
"148","Quercus robur","Quercus robur","Wikispecies",0.988
"149","Quercus rubra","Quercus rubra","NCBI",0.988
"150","Quercus","Quercus","Catalogue of Life",0.75
"151","Raphanus sativus","Raphanus sativus","NCBI",0.988
"152","Retama raetam","Retama raetam","NCBI",0.988
"153","Rhamnus cathartica","Rhamnus cathartica","NCBI",0.988
"154","Rhamnus davurica","Rhamnus davurica","NCBI",0.988
"155","Robinia pseudoacacia","Robinia pseudoacacia","NCBI",0.988
"156","Rubus","Rubus","Catalogue of Life",0.75
"157","Sagittaria latifolia","Sagittaria latifolia","NCBI",0.988
"158","Salix caprea","Salix caprea","NCBI",0.988
"159","Schinus terebinthifolius","Schinus terebinthifolius","Freebase",0.988
"160","Schizachyrium condensatum","Schizachyrium condensatum","EOL",0.988
"161","Schizachyrium scoparium","Schizachyrium scoparium","NCBI",0.988
"162","Scirpus mariqueter","Scirpus mariqueter","EOL",0.988
"163","Selaginella densa","Selaginella densa","NCBI",0.988
"164","Setaria plicata","Setaria plicata","NCBI",0.988
"165","Solidago canadensis","Solidago canadensis","NCBI",0.988
"166","Solidago gigantea","Solidago gigantea","NCBI",0.988
"167","Sorghum halepense","Sorghum halepense","NCBI",0.988
"168","Spartina alterniflor","Spartina alterniflora Loisel.","Catalogue of Life",0.75
"169","Spartina alterniflora","Spartina alterniflora","WoRMS",0.988
"170","Spartina anglica","Spartina anglica","Freebase",0.988
"171","Spartina patens","Spartina patens","Freebase",0.988
"172","Stapelia gigantea","Stapelia gigantea","NCBI",0.988
"173","Stipa","Stipa","Catalogue of Life",0.75
"174","Stylophorum diphyllum","Stylophorum diphyllum","NCBI",0.988
"175","Styphelia tameiameiae","Styphelia tameiameiae","NCBI",0.988
"176","Tamarix chinensis","Tamarix chinensis","NCBI",0.988
"177","Tamarix ramosissima","Tamarix ramosissima","NCBI",0.988
"178","Tamarix","Tamarix","NCBI",0.75
"179","Taxodium distichum","Taxodium distichum","NCBI",0.988
"180","Teline monspessulana","Teline monspessulana","EOL",0.988
"181","Themeda trianda","Themeda triandra Forssk.","Catalogue of Life",0.75
"182","Toxicodendron vernicifluu","Toxicodendron vernicifluum (Stokes) F.A. Barkley","Catalogue of Life",0.75
"183","Tradescantia fluminensis","Tradescantia fluminensis","NCBI",0.988
"184","Trientalis borealis","Trientalis borealis","Catalogue of Life",0.988
"185","Trifolium repens","Trifolium repens","NCBI",0.988
"186","Typha latifolia","Typha latifolia","NCBI",0.988
"187","Typha x glauca","Typha x glauca","NCBI",0.999
"188","Ulmus minor","Ulmus minor","Catalogue of Life",0.988
"189","Urtica dioica","Urtica dioica","Catalogue of Life",0.988
"190","Vaccinium","Vaccinium","Catalogue of Life",0.75
