Family,submitted_name,matched_name,Same,data_source_title,score,Origin,Notes,Trait_db_height,Trait_measurement_Origin,Upper_height,Lower_height,Single_height,Source,Comment,Woodiness,C3,C4,Nit_fix,Fabaceae
Chenopodiaceae,Krascheninnikovia lanata,Krascheninnikovia lanata,TRUE,NCBI,0.988,Western North America,,,,1,0.5,,https://en.wikipedia.org/wiki/Krascheninnikovia_lanata,,1,,,0,Chenopodiaceae
Verbenaceae,Lantana camara,Lantana camara,TRUE,NCBI,0.988,Central and South America,,,,,,2,https://en.wikipedia.org/wiki/Lantana_camara,,1,1,,0,Verbenaceae
Oleaceae,Ligustrum lucidum,Ligustrum lucidum,TRUE,NCBI,0.988,Southern China,,,,,,10,https://en.wikipedia.org/wiki/Ligustrum_lucidum,,1,1,,0,Oleaceae
Magnoliaceae,Liriodendron tulipifera,Liriodendron tulipifera,TRUE,NCBI,0.988,North America,,,,30,25,,https://en.wikipedia.org/wiki/Liriodendron_tulipifera,,1,1,,0,Magnoliaceae
Caprifoliaceae,Lonicera maackii,Lonicera maackii,TRUE,NCBI,0.988,East and Central Asia,,,,,,6,https://en.wikipedia.org/wiki/Lonicera_maackii,,1,1,,0,Caprifoliaceae
Fabaceae,Lupinus luteus,Lupinus luteus,TRUE,NCBI,0.988,Southern Europe and North Africa,,0.396862697,Non-native,,,1.5,http://www.kew.org/science-conservation/plants-fungi/lupinus-polyphyllus-large-leaved-lupin,,0,1,,1,Fabaceae
Lythraceae,Lythrum salicaria,Lythrum salicaria,TRUE,Catalogue of Life,0.988,"Europe, North Africa, Asia, southeastern Australia",,0.696238325,Native,2,1,,https://en.wikipedia.org/wiki/Lythrum_salicaria,,0,1,,0,Lythraceae
Piperaceae,Macropiper excelsum,Macropiper excelsum,TRUE,Catalogue of Life,0.988,New Zealand,,,,3,2,,http://www.nznativeplants.co.nz/Articles/Macropiper+excelsum.html,,1,,,0,Piperaceae
Convallariaceae,Maianthmum canadense,Maianthemum canadense,FALSE,Catalogue of Life,0.75,North America,,,,0.25,0.1,,https://en.wikipedia.org/wiki/Maianthemum_canadense,,0,1,,0,Convallariaceae
Myrtaceae,Melaleuca quinquenervia,Melaleuca quinquenervia,TRUE,NCBI,0.988,"New Caledonia, Papua New Guinea, Eastern Australia",,,,,,20,https://en.wikipedia.org/wiki/Melaleuca_quinquenervia,,1,1,,0,Myrtaceae
#N/A,Melilotus,Melilotus,TRUE,Catalogue of Life,0.75,,Origin unsure,,,,,,,,,,,0,#N/A
Poaceae,Melinis minutiflora,Melinis minutiflora,TRUE,NCBI,0.988,Africa,,,,1.5,0.75,,https://en.wikipedia.org/wiki/Melinis_minutiflora,,0,0,,0,Poaceae
Myrtaceae,Metrosideros polymorpha,Metrosideros polymorpha,TRUE,NCBI,0.988,Hawaii,,,,25,20,,https://en.wikipedia.org/wiki/Metrosideros_polymorpha,,1,1,,0,Myrtaceae
Poaceae,Microstegium vimineum,Microstegium vimineum,TRUE,NCBI,0.988,"South, East and South-East Asia",,,,1,0.4,,https://en.wikipedia.org/wiki/Microstegium_vimineum,,0,0,,0,Poaceae
Asteraceae,Mikania micrantha,Mikania micrantha,TRUE,NCBI,0.988,Subtropical Americas,,,,,,,,Species is a climbing vine. What does this mean for height?,0,,,0,Asteraceae
Scrophulariaceae,Mimulus guttatus,Mimulus guttatus,TRUE,Freebase,0.988,Western North America,,0.342246116,Non-native,0.8,0.1,,https://en.wikipedia.org/wiki/Mimulus_guttatus,,0,1,,0,Scrophulariaceae
Poaceae,Molinia caerulea,Molinia caerulea,TRUE,NCBI,0.988,"Europe, west Asia, North America",,0.74246212,Native,,,0.9,https://en.wikipedia.org/wiki/Molinia_caerulea,,0,1,,0,Poaceae
Myricaceae,Myrica cerifera,Myrica cerifera,TRUE,Freebase,0.988,North and Central America,,,,9,3,,http://plants.usda.gov/factsheet/pdf/fs_mypu.pdf,,1,,,0,Myricaceae
Myricaceae,Myrica faya,Myrica faya,TRUE,Freebase,0.988,"Azores, Madeira, Canary Islands",,,,8,3,,https://en.wikipedia.org/wiki/Myrica_faya,,1,1,,0,Myricaceae
Poaceae,Nassella pulchra,Nassella pulchra,TRUE,NCBI,0.988,California,,,,,,1,https://en.wikipedia.org/wiki/Nassella_pulchra,,0,,,0,Poaceae
Poaceae,Nassella viridula,Nassella viridula,TRUE,NCBI,0.988,North America,,,,,,1.2,https://en.wikipedia.org/wiki/Nassella_viridula,,0,,,0,Poaceae
#N/A,Opuntia caracassana,Opuntia caracassana,TRUE,NCBI,0.988,,Origin unsure,,,2,1,,https://de.wikipedia.org/wiki/Opuntia_caracassana,,0,,,0,Cactaceae
Poaceae,Oryzopsis hymenoides,Oryzopsis hymenoides,TRUE,Freebase,0.988,Western North America,,,,61,10,,https://en.wikipedia.org/wiki/Oryzopsis_hymenoides,,0,1,,0,Poaceae
Oxalidaceae,Oxalis pes-caprae,Oxalis pes-caprae,TRUE,NCBI,0.988,South Africa,,0.2,Non-native,0.3,0.15,,http://keyserver.lucidcentral.org/weeds/data/080c0106-040c-4508-8300-0b0a06060e01/media/html/Oxalis_pes-caprae.htm,,0,1,,0,Oxalidaceae
Poaceae,Panicum virgatum,Panicum virgatum,TRUE,NCBI,0.988,North America,,,,,,2.7,https://en.wikipedia.org/wiki/Panicum_virgatum,,0,0,,0,Poaceae
Asteraceae,Parthenium hysterophorus,Parthenium hysterophorus,TRUE,NCBI,0.988,American tropics,,,,0.9,0.3,,http://www.cabi.org/isc/datasheet/45573,,0,1,,0,Asteraceae
Poaceae,Pascopyrum smithii,Pascopyrum smithii,TRUE,NCBI,0.988,North America,,,,0.9,0.3,,http://plants.usda.gov/factsheet/pdf/fs_pasm.pdf,,0,1,,0,Poaceae
Poaceae,Paspalum quadrifarium,Paspalum quadrifarium,TRUE,NCBI,0.988,Southern South America,Origin unsure,,,,,2,http://keyserver.lucidcentral.org/weeds/data/03030800-0b07-490a-8d04-0605030c0f01/media/Html/Paspalum_quadrifarium.htm,,0,0,,0,Poaceae
Poaceae,Paspulum conjugatum,Paspalum conjugatum,FALSE,Catalogue of Life,0.75,South America,Origin unsure,,,,,0.3,http://www.cabi.org/isc/datasheet/38951,,0,0,,0,Poaceae
Geraniaceae,Pelargonium capitatum,Pelargonium capitatum,TRUE,NCBI,0.988,South Africa,,,,,,1,https://en.wikipedia.org/wiki/Pelargonium_capitatum,,0,,,0,Geraniaceae
Poaceae,Pennisetum ciliare,Pennisetum ciliare,TRUE,EOL,0.988,"Africa, Southern Asia",,,,,,0.5,https://en.wikipedia.org/wiki/Cenchrus_ciliaris,,0,0,,0,Poaceae
Poaceae,Pennisetum clandestinum,Pennisetum clandestinum,TRUE,Freebase,0.988,East Africa,,,,,,0.15,http://www.cabi.org/isc/datasheet/39765,,0,0,,0,Poaceae
Poaceae,Pennisetum polystachion,Pennisetum polystachion,TRUE,EOL,0.988,Tropical Africa,,,,3,0.3,,http://www.cabi.org/isc/datasheet/39770,,0,0,,0,Poaceae
Poaceae,Pennisetum setaceum,Pennisetum setaceum,TRUE,Union 4,0.988,"Tropical Africa, Middle East, SW Asia",,,,,,0.9,https://en.wikipedia.org/wiki/Pennisetum_setaceum,,0,0,,0,Poaceae
Asteraceae,Petasites hybridus,Petasites hybridus,TRUE,NCBI,0.988,Europe and Northern Asia,,0.575,Native,1.2,0.8,,https://en.wikipedia.org/wiki/Petasites_hybridus,,0,1,,0,Asteraceae
Poaceae,Phalaris arundinacea,Phalaris arundinacea,TRUE,NCBI,0.988,"Europe, Asia, North Africa, North America",,1.45,Native,,,2,https://en.wikipedia.org/wiki/Phalaris_arundinacea,,0,1,,0,Poaceae
Poaceae,Phragmites australis,Phragmites australis,TRUE,NCBI,0.988,Unsure,,2.5,Unclear,,,2,http://www.arkive.org/common-reed/phragmites-australis/,,0,1,,0,Poaceae
Asteraceae,Pilosella officinarum,Pilosella officinarum,TRUE,NCBI,0.988,Europe and Northern Asia,,,,0.5,0.05,,https://en.wikipedia.org/wiki/Hieracium_pilosella,,0,1,,0,Asteraceae
Pinaceae,Pinus pinaster,Pinus pinaster,TRUE,NCBI,0.988,Western Mediterranean,,30,Non-native,35,20,,https://en.wikipedia.org/wiki/Pinus_pinaster,,1,1,,0,Pinaceae
#N/A,Planchonella samoensis,Planchonella samoensis,TRUE,uBio NameBank,0.988,,Origin unsure,,,,,40,http://www.pngplants.org/PNGtrees/TreeDescriptions/Planchonella_torricellensis_K_Schum_H_J_.html,,1,,,0,Sapotaceae
Poaceae,Pleuraphis jamesii,Pleuraphis jamesii,TRUE,Freebase,0.988,South Western USA,,,,,,0.6,https://en.wikipedia.org/wiki/Hilaria_jamesii,,0,0,,0,Poaceae
#N/A,Pluchea sericea,Pluchea sericea,TRUE,NCBI,0.988,Southern USA andNorthern Mexico,,,,,,3.65,http://southwestdesertflora.com/WebsiteFolders/All_Species/Asteraceae/Pluchea_sericea.html,,1,,,0,Asteraceae
Poaceae,Poa cita,Poa cita,TRUE,NCBI,0.988,,Origin unsure,,,,,0.7,https://www.southernwoods.co.nz/shop/poa-cita/,,0,1,,0,Poaceae
Poaceae,Poa pratensis,Poa pratensis,TRUE,NCBI,0.988,"Europe, North America, Asia, North Africa",,0.3,Native,0.7,0.3,,https://en.wikipedia.org/wiki/Poa_pratensis,,0,1,,0,Poaceae
Salicaceae,Poplus alba,Populus alba,FALSE,Catalogue of Life,0.75,Europe and Northern Africa,,23.23790008,Native,27,16,,https://en.wikipedia.org/wiki/Populus_alba,,1,1,,0,Salicaceae
Salicaceae,Populus deltoides,Populus deltoides,TRUE,Catalogue of Life,0.988,Eastern North America,,,,40,20,,https://en.wikipedia.org/wiki/Populus_deltoides,,1,1,,0,Salicaceae
#N/A,Populus,Populus,TRUE,Catalogue of Life,0.75,,,,,,,,,,,,,0,Salicaceae
#N/A,Propsopis juliflora,Propsopis juliflora,TRUE,EOL,0.988,"Mexico, South America and Carribean",,,,,,12,https://en.wikipedia.org/wiki/Prosopis_juliflora,,1,1,,1,Fabaceae
Fabaceae,Prosopis cineraria,Prosopis cineraria,TRUE,NCBI,0.988,Western Asia and Indian subcontinent,,,,5,3,,https://en.wikipedia.org/wiki/Prosopis_cineraria,,1,1,,1,Fabaceae
Fabaceae,Prosopis juliflora,Prosopis juliflora,TRUE,NCBI,0.988,"Mexico, South America and Carribean",,,,,,12,https://en.wikipedia.org/wiki/Prosopis_juliflora,,1,1,,1,Fabaceae
Rosaceae,Prunus serotina,Prunus serotina,TRUE,NCBI,0.988,North and South America,,18.90410959,Non-native,38,20,,http://www.cabi.org/isc/datasheet/44360,,1,1,,0,Rosaceae
Fagaceae,Quercus alba,Quercus alba,TRUE,NCBI,0.988,Eastern North America,,,,30,24,,https://en.wikipedia.org/wiki/Quercus_alba,,1,1,,0,Fagaceae
Fagaceae,Quercus ilex,Quercus ilex,TRUE,NCBI,0.988,Mediterranean and Northern Africa,,,,20,5,,https://en.wikipedia.org/wiki/Quercus_ilex,,1,1,,0,Fagaceae
Fagaceae,Quercus robur,Quercus robur,TRUE,Wikispecies,0.988,Europe and Western Asia,,39.14867641,Native,40,20,,https://www.woodlandtrust.org.uk/visiting-woods/trees-woods-and-wildlife/british-trees/native-trees/english-oak/,,1,1,,0,Fagaceae
Fagaceae,Quercus rubra,Quercus rubra,TRUE,NCBI,0.988,Eastern North America,,25,Non-native,,,28,https://en.wikipedia.org/wiki/Quercus_rubra,,1,1,,0,Fagaceae
#N/A,Quercus,Quercus,TRUE,Catalogue of Life,0.75,,,,,,,,,,1,1,,0,Fagaceae
Brassicaceae,Raphanus sativus,Raphanus sativus,TRUE,NCBI,0.988,Europe,,0.519615242,Native,,,0.13,https://en.wikipedia.org/wiki/Radish,,0,1,,0,Brassicaceae
Fabaceae,Retama raetam,Retama raetam,TRUE,NCBI,0.988,Southern Europe and North Africa,,,,,,3,http://www.flowersinisrael.com/Retamaraetam_page.htm,,1,1,,1,Fabaceae
Rhamnaceae,Rhamnus cathartica,Rhamnus cathartica,TRUE,NCBI,0.988,"Europe, Northern Africa, western Asia.",,,,,,10,https://en.wikipedia.org/wiki/Rhamnus_cathartica,,1,1,,0,Rhamnaceae
Rhamnaceae,Rhamnus davurica,Rhamnus davurica,TRUE,NCBI,0.988,East Asia,,,,,,10,https://en.wikipedia.org/wiki/Rhamnus_davurica,,1,1,,0,Rhamnaceae
Fabaceae,Robinia pseudoacacia,Robinia pseudoacacia,TRUE,NCBI,0.988,South Eastern USA,,,,,,25,http://www.kew.org/science-conservation/plants-fungi/robinia-pseudoacacia-black-locust,,1,1,,1,Fabaceae
#N/A,Rubus,Rubus,TRUE,Catalogue of Life,0.75,,,,,,,,,,,,,0,#N/A
Alismataceae,Sagittaria latifolia,Sagittaria latifolia,TRUE,NCBI,0.988,"North America, Mexico, Northern South America",,,,,,1.2,http://plants.usda.gov/factsheet/pdf/fs_sala2.pdf,,0,1,,0,Alismataceae
Salicaceae,Salix caprea,Salix caprea,TRUE,NCBI,0.988,Europe and Asia,,5.295522503,Native,10,8,,https://en.wikipedia.org/wiki/Salix_caprea,,1,1,,0,Salicaceae
Anacardiaceae,Schinus terebinthifolius,Schinus terebinthifolius,TRUE,Freebase,0.988,Tropical and subtropical South America,,,,10,7,,https://en.wikipedia.org/wiki/Schinus_terebinthifolius,,1,1,,0,Anacardiaceae
Poaceae,Schizachyrium condensatum,Schizachyrium condensatum,TRUE,EOL,0.988,South America,,,,,,1.5,https://en.wikipedia.org/wiki/Schizachyrium_condensatum,,0,0,,0,Poaceae
Poaceae,Schizachyrium scoparium,Schizachyrium scoparium,TRUE,NCBI,0.988,Native to most of the USA apart from California,,,,0.9,0.45,,http://plants.usda.gov/factsheet/pdf/fs_scsc.pdf,,0,0,,0,Poaceae
#N/A,Scirpus mariqueter,Scirpus mariqueter,TRUE,EOL,0.988,All continents apart from Africa,,,,,,,,No details on height,0,,,0,Cyperaceae
Selaginellaceae,Selaginella densa,Selaginella densa,TRUE,NCBI,0.988,Western North America,,,,,,0.04,https://en.wikipedia.org/wiki/Selaginella_densa,,0,1,,0,Selaginellaceae
Poaceae,Setaria plicata,Setaria plicata,TRUE,NCBI,0.988,,Origin unsure,,,1.3,0.45,,http://www.kew.org/data/grasses-db/www/imp09408.htm,,0,0,,0,Poaceae
Asteraceae,Solidago canadensis,Solidago canadensis,TRUE,NCBI,0.988,North-Eastern and North-Central North America,,1.375,Non-native,2.1,0.3,,http://plants.usda.gov/factsheet/pdf/fs_soca6.pdf,,0,1,,0,Asteraceae
Asteraceae,Solidago gigantea,Solidago gigantea,TRUE,NCBI,0.988,North America,,1.375,Non-native,,,2,https://en.wikipedia.org/wiki/Solidago_gigantea,,0,1,,0,Asteraceae
Poaceae,Sorghum halepense,Sorghum halepense,TRUE,NCBI,0.988,Mediterranean,,,,0.5,0.15,,http://www.cabi.org/isc/datasheet/50624,,0,0,,0,Poaceae
Poaceae,Spartina alterniflor,Spartina alterniflora,FALSE,Catalogue of Life,0.75,Atlantic coast of North America,,,,2.1,0.6,,http://plants.usda.gov/factsheet/pdf/fs_spal.pdf,,0,0,,0,Poaceae
Poaceae,Spartina alterniflora,Spartina alterniflora,TRUE,WoRMS,0.988,Atlantic coast of North America,,,,2.1,0.6,,http://plants.usda.gov/factsheet/pdf/fs_spal.pdf,,0,0,,0,Poaceae
Poaceae,Spartina anglica,Spartina anglica,TRUE,Freebase,0.988,Europe/UK,,,,1.3,0.4,,https://en.wikipedia.org/wiki/Spartina_anglica,,0,0,,0,Poaceae
Poaceae,Spartina patens,Spartina patens,TRUE,Freebase,0.988,"Atlantic coast of North America, Carribean and Mexico",,,,0.6,0.3,,https://en.wikipedia.org/wiki/Spartina_patens,,0,0,,0,Poaceae
Asclepiadaceae,Stapelia gigantea,Stapelia gigantea,TRUE,NCBI,0.988,South-Eastern Africa,,,,,,0.2,https://en.wikipedia.org/wiki/Stapelia_gigantea,,0,,,0,Asclepiadaceae
#N/A,Stipa,Stipa,TRUE,Catalogue of Life,0.75,,Origin unsure,,,,,,,,,,,0,#N/A
Papaveraceae,Stylophorum diphyllum,Stylophorum diphyllum,TRUE,NCBI,0.988,Eastern North America,,,,,,0.45,https://en.wikipedia.org/wiki/Stylophorum_diphyllum,,0,1,,0,Papaveraceae
Epacridaceae,Styphelia tameiameiae,Styphelia tameiameiae,TRUE,NCBI,0.988,Hawaii and Maquesas islands,,,,3,0.9,,https://en.wikipedia.org/wiki/Styphelia_tameiameiae,,1,1,,0,Epacridaceae
Tamaricaceae,Tamarix chinensis,Tamarix chinensis,TRUE,NCBI,0.988,China and Korea,,,,,,6,https://en.wikipedia.org/wiki/Tamarix_chinensis,,1,1,,0,Tamaricaceae
Tamaricaceae,Tamarix ramosissima,Tamarix ramosissima,TRUE,NCBI,0.988,Europe and Asia,,,,,,8,https://en.wikipedia.org/wiki/Tamarix_ramosissima,,1,1,,0,Tamaricaceae
#N/A,Tamarix,Tamarix,TRUE,NCBI,0.75,,,,,,,,,,1,,,0,Tamaricaceae
Taxodiaceae,Taxodium distichum,Taxodium distichum,TRUE,NCBI,0.988,South Eastern USA,,40,Non-native,35,30,,https://en.wikipedia.org/wiki/Taxodium_distichum,,1,1,,0,Taxodiaceae
Fabaceae,Teline monspessulana,Teline monspessulana,TRUE,EOL,0.988,Mediterranean,,,,2.5,1,,https://en.wikipedia.org/wiki/Genista_monspessulana,,1,1,,1,Fabaceae
Poaceae,Themeda trianda,Themeda triandra,FALSE,Catalogue of Life,0.75,"Asia, Africa, Australia and Pacific",Origin unsure,,,,,1.5,https://en.wikipedia.org/wiki/Themeda_triandra,,0,0,,0,Poaceae
Anacardiaceae,Toxicodendron vernicifluu,Toxicodendron vernicifluum,FALSE,Catalogue of Life,0.75,China and India,,,,,,20,https://en.wikipedia.org/wiki/Toxicodendron_vernicifluum,,1,1,,0,Anacardiaceae
Commelinaceae,Tradescantia fluminensis,Tradescantia fluminensis,TRUE,NCBI,0.988,South America,,,,,,0.2,https://www.rhs.org.uk/Plants/56226/i-Tradescantia-fluminensis-i-Quicksilver-(v)/Details,,0,,,0,Commelinaceae
Primulaceae,Trientalis borealis,Trientalis borealis,TRUE,Catalogue of Life,0.988,North America,,,,,,0.2,https://en.wikipedia.org/wiki/Trientalis_borealis,,0,1,,0,Primulaceae
Fabaceae,Trifolium repens,Trifolium repens,TRUE,NCBI,0.988,Europe and Central Asia,,0.316227766,Native,,,0.07,https://en.wikipedia.org/wiki/Trifolium_repens,,0,1,,1,Fabaceae
Typhaceae,Typha latifolia,Typha latifolia,TRUE,NCBI,0.988,North and South America,,1.5,Non-native,3,1.5,,https://en.wikipedia.org/wiki/Typha_latifolia,,0,1,,0,Typhaceae
#N/A,Typha x glauca,Typha x glauca,TRUE,NCBI,0.999,Europe,,,,1.8,0.9,,https://en.wikipedia.org/wiki/Typha_angustifolia,,0,1,,0,Typhaceae
Ulmaceae,Ulmus minor,Ulmus minor,TRUE,Catalogue of Life,0.988,Europe to Central Asia,,28.63564213,Native,,,30,https://en.wikipedia.org/wiki/Ulmus_minor,,1,1,,0,Ulmaceae
Urticaceae,Urtica dioica,Urtica dioica,TRUE,Catalogue of Life,0.988,"Europe, Asia, northern Africa, western North America",,0.74941486,Native,2,1,,https://en.wikipedia.org/wiki/Urtica_dioica,,0,1,,0,Urticaceae
,Vaccinium,Vaccinium,TRUE,Catalogue of Life,0.75,,Origin unsure,,,,,,,,,,,,
